site_no,AREA,Lb,X1,Wb,POR,ALPHA,BETA,Ks,Kb,Kz,Qthresh,Rs,Rb1,Rb2,Prec,Frac4Rise,Error,BFF
2350600,504320000,10126.4,706.974,403.686,0.15,0.030748,1.3,2311.96,17031.2,1.93361,19390.1,-0.177083,-0.0711637,-0.0445804,461.913,0.05,0.514,0.228139
2450250,235776000,4704.1,246.391,957.588,0.15,0.011699,1.2,3536.07,16622,0.898,22982.1,-0.334409,-0.113157,-0.0739784,327.841,0.05,0.418,0.276458
2450825,258560000,10035.1,1468.65,806.486,0.15,0.0108449,4.1,2591.23,6781.68,1.01694,115478,-0.317987,-0.100479,-0.0465643,2933.44,0.05,0.354,0.337051
2464000,570880000,8283.53,100,1088.96,0.15,0.0130321,1,4034.85,13656.6,0.997461,5088.87,-0.246261,-0.105188,-0.0734628,539.469,0.05,0.398,0.300687
2467500,1553920000,7813.45,1628.82,2438.8,0.15,0.0039418,9.5,2243.52,2503.32,1.08878,330287,-0.0673876,-0.0947493,-0.0382679,19080.8,0.05,0.277,0.389381
2469800,419840000,7951.88,287.214,1146.01,0.15,0.0109546,1.5,5327.43,14709.8,1.01343,16000.6,-0.301981,-0.106407,-0.0555732,1631.37,0.05,0.352,0.309985
2470072,26880000,3713.77,100,237.606,0.15,0.0259242,1,897.384,6007.29,0.999135,1361.52,-0.329275,-0.107015,-0.144068,7.07059,0.05,2.68,0.220614
2472000,1902080000,16976.7,5117.07,1518.22,0.15,0.00626088,5.6,3499.59,6900.99,1.01453,380320,-0.168558,-0.0902759,-0.0391054,33493.6,0.05,0.303,0.371015
2472850,657920000,4176.99,194.87,1252.88,0.15,0.00888337,1.2,8679.41,12354.1,0.954268,22298.1,-0.35619,-0.124371,-0.0838398,1117.59,0.05,0.453,0.257269
2479155,134656000,12998,100,238.781,0.15,0.0114697,1,3855.5,7351.96,0.855598,92010.7,-0.876814,-0.0629014,-0.105986,2646.95,0.05,0.63,0.420403
2481510,788480000,9615.68,1849.11,2287.96,0.15,0.0135062,8.9,3756.31,4523.54,2.11622,313161,-0.145443,-0.0936268,-0.0426843,28135.6,0.05,0.322,0.472345
3544970,3233280000,13456.1,100,697.186,0.15,0.0145303,1,7924.25,9259.37,0.902635,944.377,-0.283305,-0.0730789,-0.0543964,58.7177,0.05,0.536,0.261468
3574500,2915840000,6037.58,100,2120.07,0.15,0.00875502,1,12963.9,8458.97,0.976585,15609.1,-0.253795,-0.118944,-0.0566476,1426.11,0.05,0.421,0.291681
2370000,524800000,25614.8,100,1369.03,0.15,0.00875186,1,553.263,6549.62,0.982288,845290,-0.0814119,-0.0246713,-0.0304728,53934.7,0.05,0.259,0.586499
2367310,70656000,6261.51,100,2273.38,0.15,0.00594486,1,332.679,821.65,0.314205,168813,-0.313426,-0.0211769,-0.0100425,14498.4,0.05,0.105,0.819471
2365769,210944000,7060,100,906.564,0.15,0.0160221,1,2311.45,10184.3,0.989894,55904.2,-0.285138,-0.0907972,-0.0630077,2196.78,0.05,0.38,0.369707
2365470,378880000,12421.6,2337.26,1068.48,0.15,0.0120675,9.7,3148.43,9145.13,0.962603,88377.5,-0.180868,-0.0902459,-0.0416314,7877.96,0.05,0.381,0.370568
2327100,261120000,7582.19,100,1062.12,0.15,0.0222735,1,1284.62,28084.4,0.866527,4450.31,-0.136201,-0.0948399,-0.101507,410.779,0.05,0.467,0.506603
2326000,506880000,32141.1,100,495.359,0.15,0.00786339,1,188.921,18547.9,1.03241,91257.1,-0.0474208,-0.0386677,-0.0253533,4425.85,0.05,0.312,0.441737
2324000,896000000,11941.3,100,1378.48,0.15,0.0177313,1,1655.49,13001.5,0.935728,43549,-0.0750444,-0.0471577,-0.0502961,2617.83,0.05,0.38,0.480479
2322700,545280000,149195,100,1954.87,0.15,0.00612879,1,1160.46,271.847,0.270021,760884,-0.142203,-0.00537842,-0.00604042,55781.8,0.05,0.124,0.863609
2315550,6732800000,23648.2,100,4946.43,0.15,0.0471786,1,1294.21,13522.8,0.922995,259337,-0.0575347,-0.0265447,-0.0279837,26912.3,0.05,0.345,0.56723
2315500,6220800000,18531.3,100,4430.59,0.15,0.038468,1,1707.76,14771.1,0.954061,82219.5,-0.0672954,-0.0311197,-0.043426,3545.08,0.05,0.455,0.523368
2228500,409600000,16336.7,100,1015.1,0.15,0.0235337,1,997.993,33199.9,0.936417,60694.5,-0.0893574,-0.0571075,-0.0817394,24.4657,0.05,0.763,0.569661
2299950,167168000,7433.95,892.557,537.791,0.15,0.00810399,3.6,1415.3,6678.02,0.966962,36943.2,-0.178653,-0.111441,-0.0439047,968.108,0.05,0.335,0.256765
2298608,320000000,5721.25,219.819,884.914,0.15,0.0113699,1.3,1930.28,10207.7,1.09873,14924.1,-0.144671,-0.0972212,-0.0615706,602.591,0.05,0.422,0.303944
2312200,371200000,19383.1,118.829,420.959,0.15,0.0270681,0.9,361.308,20824.5,0.975716,111808,-0.0613963,-0.0386367,-0.0836046,24.4657,0.05,0.989,0.420701
2297155,107520000,5683.92,100,439.103,0.15,0.014017,1,637.201,7358.89,0.94638,112053,-0.153875,-0.0609438,-0.070715,48.9314,0.05,0.545,0.396896
2296500,844800000,10413.8,100,1103.11,0.15,0.0146896,1,1071.49,11176.9,1.04783,3376.27,-0.0955232,-0.0573509,-0.0421319,368.698,0.05,0.494,0.427288
2298123,596480000,9595.46,100,936.515,0.15,0.0131174,1,1341.66,11816.2,0.9449,33968.2,-0.10109,-0.056636,-0.0451576,277.931,0.05,0.384,0.366726
2295013,120832000,23594.3,100,274.52,0.15,0.0132843,1,310.155,25332.7,0.934522,10769.8,-0.178005,-0.0609697,-0.0484432,134.561,0.05,0.505,0.439027
2266200,31744000,3562.51,226.923,629.729,0.15,0.0612998,0.9,81.4957,7089.05,0.191862,220.191,-0.0373746,-0.0247132,-0.0484106,24.4657,0.05,0.517,0.655138
2268390,135168000,46310.9,100,252.998,0.15,0.0185305,1,92.7254,6780.79,0.603514,87097.9,-0.0445726,-0.0261076,-0.0214221,2908.97,0.05,0.231,0.604992
