substring,type,exception
D-glycero-beta-D-manno-heptose-7-phosphate kinase,soft,allow_lipid
EC:2.7.1.167,soft,allow_lipid
EC 2.7.1.167,soft,allow_lipid
EC:2.7.1,soft,
EC 2.7.1,soft,
peptidoglycan,hard,
Peptidoglycan,hard,
adhesin,hard,
Adhesin,hard,
receptor,hard,
Receptor,hard,
transcriptional,hard,
transcription,hard,
tRNA synthetase,hard,
tRNA,hard,
rhodanese-like domain,hard,
Rhodanese-like domain,hard,
baseplate,hard,
phage head,hard,
phage tail,hard,
portal,hard,
virion structural,hard,
virion structure,hard,
Ig-like domain,hard,
immunoglobulin,hard,
receptor,hard,
head decoration,hard,
head morphogenesis,hard,
tail fiber,hard,
tail fibre,hard,
tail peptide,hard,
tail protein,hard,
tail spike,hard,
tail assembly,hard,
tail terminator,hard,
tail length,hard,
head protein,hard,
head vertex,hard,
capsid,hard,
Ribonucleotide Reductase,hard,allow_nucleotide
Ribonucleotide reductase,hard,allow_nucleotide
ribonucleotide reductase,hard,allow_nucleotide
ribonucleoside-diphosphate reductase,hard,allow_nucleotide
Ribonucleoside-diphosphate reductase,hard,allow_nucleotide
Nucleoside diphosphate,hard,allow_nucleotide
nucleoside diphosphate,hard,allow_nucleotide
Nucleoside-diphosphate,hard,allow_nucleotide
nucleoside-diphosphate,hard,allow_nucleotide
dihydrofolate reductase,hard,allow_nucleotide
Dihydrofolate reductase,hard,allow_nucleotide
ATP cone,hard,allow_nucleotide
EC 2.7.1.48,hard,allow_nucleotide
EC:2.7.1.48,hard,allow_nucleotide
uridine/cytidine kinase,hard,allow_nucleotide
Uridine/cytidine kinase,hard,allow_nucleotide
uridine-cytidine kinase,hard,allow_nucleotide
Uridine-cytidine kinase,hard,allow_nucleotide
uridine kinase,hard,allow_nucleotide
Uridine kinase,hard,allow_nucleotide
UCK2,hard,allow_nucleotide
EC 4.1.1.23,hard,allow_nucleotide
EC:4.1.1.23,hard,allow_nucleotide
orotidine-5'-phosphate decarboxylase,hard,allow_nucleotide
Orotidine-5'-phosphate decarboxylase,hard,allow_nucleotide
Orotidine 5'-phosphate decarboxylase,hard,allow_nucleotide
orotidine 5'-phosphate decarboxylase,hard,allow_nucleotide
EC 2.4.2.10,hard,allow_nucleotide
EC:2.4.2.10,hard,allow_nucleotide
Orotate phosphoribosyltransferase,hard,allow_nucleotide
orotate phosphoribosyltransferase,hard,allow_nucleotide
EC 3.5.2.3,hard,allow_nucleotide
EC:3.5.2.3,hard,allow_nucleotide
Dihydroorotase,hard,allow_nucleotide
dihydroorotase,hard,allow_nucleotide
carbamoylaspartic dehydrase,hard,allow_nucleotide
Carbamoylaspartic dehydrase,hard,allow_nucleotide
Carbamoylaspartic Dehydrase,hard,allow_nucleotide
dihydroorotate hydrolase,hard,allow_nucleotide
Dihydroorotate hydrolase,hard,allow_nucleotide
Dihydroorotate Hydrolase,hard,allow_nucleotide
EC 1.3.5.2,hard,allow_nucleotide
EC:1.3.5.2,hard,allow_nucleotide
dihydroorotate dehydrogenase,hard,allow_nucleotide
Dihydroorotate dehydrogenase,hard,allow_nucleotide
Dihydroorotate Dehydrogenase,hard,allow_nucleotide
EC 6.3.5.5,hard,allow_nucleotide
EC:6.3.5.5,hard,allow_nucleotide
carbamoyl-phosphate synthase,hard,allow_nucleotide
Carbamoyl-phosphate synthase,hard,allow_nucleotide
carbamoyl phosphate synthase,hard,allow_nucleotide
Carbamoyl phosphate synthase,hard,allow_nucleotide
carbamoyl-phosphate synthetase,hard,allow_nucleotide
Carbamoyl-phosphate synthetase,hard,allow_nucleotide
carbamoyl phosphate synthetase,hard,allow_nucleotide
Carbamoyl phosphate synthetase,hard,allow_nucleotide
aspartate carbamoyltransferase,hard,allow_nucleotide
Aspartate carbamoyltransferase,hard,allow_nucleotide
carbamylaspartotranskinase,hard,allow_nucleotide
aspartate transcarbamylase,hard,allow_nucleotide
aspartate carbamyltransferase,hard,allow_nucleotide
Thymidylate synthase,hard,allow_nucleotide
thymidylate synthase,hard,allow_nucleotide
EC:2.1.,hard,allow_nucleotide
EC 2.1.,hard,allow_nucleotide
methyltransferase,hard,allow_methyl
methylase,hard,allow_methyl
methylation,hard,allow_methyl
Methyltransferase,hard,allow_methyl
Methylase,hard,allow_methyl
methylase,hard,allow_methyl
UDP-glucose/GDP-mannose dehydrogenase,hard,allow_nucleotide
nucleotide,hard,allow_nucleotide
Nucleotide,hard,allow_nucleotide
nucleoside,hard,allow_nucleotide
Nucleoside,hard,allow_nucleotide
AAA domain,hard,allow_nucleotide
dTDP,hard,allow_nucleotide
dUDP,hard,allow_nucleotide
dADP,hard,allow_nucleotide
dCDP,hard,allow_nucleotide
dGDP,hard,allow_nucleotide
dCMP,hard,allow_nucleotide
TDP,hard,allow_nucleotide
TTP,hard,allow_nucleotide
UDP,hard,allow_nucleotide
UTP,hard,allow_nucleotide
ADP,hard,allow_nucleotide
CDP,hard,allow_nucleotide
CTP,hard,allow_nucleotide
GDP,hard,allow_nucleotide
GTP,hard,allow_nucleotide
CMP,hard,allow_nucleotide
CDP,hard,allow_nucleotide
CTP,hard,allow_nucleotide
SPFH domain / Band 7 family,hard,allow_nucleotide
PLD-like domain,hard,allow_nucleotide
deoxyribose,hard,allow_nucleotide
Deoxyribose,hard,allow_nucleotide
Nucleotidyl transferase,hard,allow_nucleotide
nucleotidyl transferase,hard,allow_nucleotide
nucleotidyltransferase,hard,allow_nucleotide
Nucleotidyltransferase,hard,allow_nucleotide
thymidylyltransferase,hard,allow_nucleotide
Thymidylyltransferase,hard,allow_nucleotide
adenosyltransferase,hard,allow_nucleotide
Adenosyltransferase,hard,allow_nucleotide
cytidylyltransferase,hard,allow_nucleotide
Cytidylyltransferase,hard,allow_nucleotide
phosphoribosyltransferase,hard,allow_nucleotide
Phosphoribosyltransferase,hard,allow_nucleotide
EC:2.7.7.,hard,allow_nucleotide
EC 2.7.7.,hard,allow_nucleotide
Sigma-70,hard,
sigma-70,hard,
sigma70,hard,
Sigma70,hard,
DNA polymerase,hard,
DNA Polymerase,hard,
resolvase,hard,
Resolvase,hard,
transposase,hard,
Transposase,hard,
STAS domain,hard,
SIS domain,hard,
NUDIX,hard,allow_nucleotide
Cytidylate kinase,hard,allow_nucleotide
cytidylate kinase,hard,allow_nucleotide
CMP kinase,hard,allow_nucleotide
CMPK,hard,allow_nucleotide
4Fe-4S ferredoxin,soft,allow_nucleotide
Fe-coproporphyrin III synthase,soft,allow_nucleotide
ahbC,soft,allow_nucleotide
AhbC,soft,allow_nucleotide
Radical SAM superfamily,soft,allow_nucleotide
radical SAM domain,soft,allow_nucleotide
radical SAM,soft,allow_nucleotide
Radical SAM,soft,allow_nucleotide
anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,soft,allow_nucleotide
"phosphoribosyl 1,2-cyclic phosphate phosphodiesterase",soft,allow_nucleotide
metal-dependent hydrolase,soft,allow_nucleotide
NAD synthetase,soft,allow_nucleotide
NAD+ synthetase,soft,allow_nucleotide
NAD synthase,soft,allow_nucleotide
NAD+ synthase,soft,allow_nucleotide
shikimate dehydrogenase,soft,allow_nucleotide
ParB-like partition protein,soft,
ParB,soft,
parB,soft,
Carbon-nitrogen hydrolase,soft,allow_nucleotide
carbon-nitrogen hydrolase,soft,allow_nucleotide
terminase,hard,
Terminase,hard,
histidinol phosphate aminotransferase,soft,allow_nucleotide
Histidinol phosphate aminotransferase,soft,allow_nucleotide
histidinol-phosphate aminotransferase,soft,allow_nucleotide
Histidinol-phosphate aminotransferase,soft,allow_nucleotide
QueA,hard,
queA,hard,
QueB,hard,
queB,hard,
QueC,hard,
queC,hard,
QueD,hard,
queD,hard,
QueE,hard,
queE,hard,
QueF,hard,
queF,hard,
Queuosine,hard,
queuosine,hard,
7-cyano-7-deazaguanine synthase,hard,
6-carboxytetrahydropterin,hard,
CPH4 synthase,hard,
EC 4.1.2.50,hard,
EC:4.1.2.50,hard,
6-pyruvoyltetrahydropterin,hard,
6-pyruvoyl tetrahydrobiopterin,hard,
EC 4.2.3.12,hard,
EC:4.2.3.12,hard,
DsrC like protein,hard,
S-adenosylmethionine decarboxylase,soft,allow_methyl
S-adenosylmethionine synthetase,soft,allow_methyl
methionine sulfoxide reductase,soft,allow_methyl
Methionine sulfoxide reductase,soft,allow_methyl
methionine-sulfoxide reductase,soft,allow_methyl
Methionine-sulfoxide reductase,soft,allow_methyl
adenosylmethionine---8-amino-7-oxononanoate aminotransferase,soft,allow_methyl
Adenosylmethionine---8-amino-7-oxononanoate aminotransferase,soft,allow_methyl
adenosylmethionine-8-amino-7-oxononanoate aminotransferase,soft,allow_methyl
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,soft,allow_methyl
chitinase,soft,allow_glycosyl
Chitinase,soft,allow_glycosyl
chitosanase,soft,allow_glycosyl
Chitosanase,soft,allow_glycosyl
hldE,hard,
HldE,hard,
waaE,hard,
WaaE,hard,
hldD,hard,
HldD,hard,
ADP-L-glycero-D-manno-heptose-6-epimerase,hard,
waaD,hard,
WaaD,hard,
trxA,hard,
TrxA,hard,
thioredoxin reductase,hard,
Thioredoxin reductase,hard,
waaC,hard,
WaaC,hard,
Lipopolysaccharide heptosyltransferase,hard,allow_lipid
lipopolysaccharide heptosyltransferase,hard,allow_lipid
gmhA,hard,
GmhA,hard,
Phosphoheptose isomerase,hard,
phosphoheptose isomerase,hard,
igaA,hard,
IgaA,hard,
membrane transport,hard,
membrane-transport,hard,
Membrane transport,hard,
Membrane-transport,hard,
sporulation,hard,
Sporulation,hard,
two-component system,hard,
two component system,hard,
Two-component system,hard,
Two component system,hard,
resistance,hard,
Resistance,hard,
