SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica Algarve

CÓDIGO,NOME,LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,TELEMETRIA,ESTADO
31K/03HA,LARANJEIRAS,-,-,232197,20788,RIBEIRAS DO ALGARVE,RIBEIRO DA FONTE DO BISPO,-,-,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,NÃO,INSTALAÇÃO AUTOMÁTICA,
30F/03HA,LEAIS,-,-,157527.59,23703.03,RIBEIRAS DO ALGARVE,RIBEIRA DO FARELO,-,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,NÃO,ATIVA,
31K/04HA,LUZ TAVIRA,-,-,238226,13927,RIBEIRAS DO ALGARVE,RIBEIRA DA LUZ,-,-,FARO,TAVIRA,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA,
29M/01HA,MOINHO DOS CADAVAIS,-,-,256420.53,56295.57,GUADIANA,RIBEIRA DOS CADAVAIS,-,-,FARO,ALCOUTIM,ALCOUTIM,NÃO,ATIVA,
30F/06HA,ODELOUCA,-,-,166394.7959,30296.33981,ARADE,RIBEIRA DE ODELOUCA,-,-,FARO,SILVES,SILVES,NÃO,ATIVA,
31J/02HA,OLHÃO,-,-,223584.63,7634.48,RIBEIRAS DO ALGARVE,RIBEIRA DE BELA MONDIL OU PECHAO,-,-,FARO,OLHÃO,PECHÃO,NÃO,ATIVA,
30H/01HA,PADERNE,-,-,193250,22550,RIBEIRAS DO ALGARVE,RIBEIRA DA QUARTEIRA OU DE ALTE,-,-,FARO,ALBUFEIRA,PADERNE,NÃO,INSTALAÇÃO AUTOMÁTICA,
30E/04HA,PASSIL,-,-,152126.8666,39569.00412,RIBEIRAS DO ALGARVE,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,-,-,FARO,MONCHIQUE,MARMELETE,NÃO,ATIVA,
30F/04HA,PEGANHEIRA,-,-,154561.95,22802.21,RIBEIRAS DO ALGARVE,RIBEIRA DE ARAO,-,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,NÃO,ATIVA,
31K/09HA,PONTE DA ASSECA,-,-,235742.081543999,20090.9451437,RIBEIRAS DO ALGARVE,RIBEIRA DA ASSECA,-,-,FARO,TAVIRA,SANTO ESTÊVÃO,NÃO,ATIVA,
29L/01HA,PONTE DA FOUPANA,-,-,254359.6821,46522.70751,,RIBEIRA DA FOUPANA,-,-,FARO,CASTRO MARIM,ODELEITE,NÃO,ATIVA,
30I/03HA,PONTE DA SALGADA,-,-,211353,29484,RIBEIRAS DO ALGARVE,RIBEIRA DA SALGADA,-,-,FARO,LOULÉ,SALIR,NÃO,INSTALAÇÃO AUTOMÁTICA,
30F/01HA,PONTE DA TORRE,-,-,160407,23418,RIBEIRAS DO ALGARVE,RIBEIRA DA TORRE OU BARRANCO DA LAGOA GARCIA,-,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,NÃO,INSTALAÇÃO AUTOMÁTICA,
31K/05HA,PONTE E.N. 125,-,-,239677,14727,RIBEIRAS DO ALGARVE,RIBEIRA DE ARROIO,-,-,FARO,TAVIRA,TAVIRA (SANTIAGO),NÃO,INSTALAÇÃO AUTOMÁTICA,
30I/02HA,PONTE RIBEIRA DO RIO SECO,-,-,210920,30179,RIBEIRAS DO ALGARVE,RIBEIRA DO RIO SECO,-,-,FARO,LOULÉ,SALIR,NÃO,INSTALAÇÃO AUTOMÁTICA,
30I/01HA,PONTE SALIR,-,-,208088,29526,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOINHOS OU DA FONTE MENAVEL,-,-,FARO,LOULÉ,SALIR,NÃO,INSTALAÇÃO AUTOMÁTICA,
31E/03HA,PORTELAS (BENSAFRIM),-,-,150367,18162,RIBEIRAS DO ALGARVE,RIBEIRA DE BENSAFRIM,-,-,FARO,LAGOS,LAGOS (SÃO SEBASTIÃO),NÃO,INSTALAÇÃO AUTOMÁTICA,
31E/04HA,PORTELAS (VALA),-,-,150250,18090,RIBEIRAS DO ALGARVE,BARRANCO DAS VALAS,-,-,FARO,LAGOS,LAGOS (SÃO SEBASTIÃO),NÃO,INSTALAÇÃO AUTOMÁTICA,
30F/07HA,PORTO DE LAGOS,-,-,164860.117929,25803.2061271,ARADE,RIBEIRA DA BOINA,-,-,FARO,PORTIMÃO,PORTIMÃO,NÃO,ATIVA,
30H/02HA,PURGATÓRIO,-,-,193235,23397,RIBEIRAS DO ALGARVE,RIBEIRA DA QUARTEIRA OU DE ALTE,-,-,FARO,ALBUFEIRA,PADERNE,NÃO,INSTALAÇÃO AUTOMÁTICA,
30J/01HA,QUERENÇA,-,-,212792,25063,RIBEIRAS DO ALGARVE,RIBEIRA DE ALGIBRE OU DAS MERCÊS,-,-,FARO,LOULÉ,QUERENÇA,NÃO,INSTALAÇÃO AUTOMÁTICA,
30I/08HA,QUINTA DA OMBRIA (TOR),-,-,211017.2155,25059.7869306,RIBEIRAS DO ALGARVE,RIBEIRA DE ALGIBRE OU DAS MERCÊS,-,-,FARO,LOULÉ,QUERENÇA,NÃO,ATIVA,
30I/04HA,QUINTA DO FREIXO,-,-,200466,32742,RIBEIRAS DO ALGARVE,RIBEIRA DA QUINTA DO FREIXO,-,-,FARO,LOULÉ,BENAFIM,NÃO,INSTALAÇÃO AUTOMÁTICA,
30I/05HA,QUINTA PASSAGEM,-,-,211259,25589,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOINHOS OU DA FONTE MENAVEL,-,-,FARO,LOULÉ,QUERENÇA,NÃO,INSTALAÇÃO CONVENCIONAL,
29E/02HA,REGUENGO (BESTEIRO JUS),-,-,150307.4957,48136.732431,RIBEIRAS DO ALGARVE,RIBEIRA DE SEIXE,-,-,BEJA,ODEMIRA,SÃO TEOTÓNIO,NÃO,ATIVA,
31K/08HA,RIBEIRA DE MARIM,-,-,226820.61,10247.22,RIBEIRAS DO ALGARVE,RIBEIRA DE MARIM OU BOAVISTA,-,-,FARO,OLHÃO,QUELFES,NÃO,ATIVA,
31J/01HA,RIO SECO,-,-,219766,7040,RIBEIRAS DO ALGARVE,RIBEIRA DO RIO SECO,-,-,FARO,FARO,FARO (SÉ),NÃO,INSTALAÇÃO AUTOMÁTICA,
31H/01HA,ROTUNDA A2,-,-,188510,31850,RIBEIRAS DO ALGARVE,RIBEIRA DE ALCANTARILHA OU BARRANCO DO RIBEIRO MEIRINHO,-,-,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,NÃO,INSTALAÇÃO AUTOMÁTICA,
31E/05HA,SARGAÇAL,-,-,151206,17880,RIBEIRAS DO ALGARVE,RIBEIRO DO VALE GRANDE,-,-,FARO,LAGOS,LAGOS (SÃO SEBASTIÃO),NÃO,INSTALAÇÃO AUTOMÁTICA,
30F/02HA,SENHORA VERDE,-,-,159922,27080,RIBEIRAS DO ALGARVE,RIBEIRA DA TORRE OU BARRANCO DA LAGOA GARCIA,-,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,NÃO,INSTALAÇÃO CONVENCIONAL,
31E/06HA,SOBROSA,-,-,148414,21798,RIBEIRAS DO ALGARVE,RIBEIRA DA SOBROSA,-,-,FARO,LAGOS,BENSAFRIM,NÃO,INSTALAÇÃO AUTOMÁTICA,
29E/03HA,SÃO MIGUEL DO NORTE,146363.7323,53273.2824,-,-,,RIBEIRA SECA,-,-,BEJA,ODEMIRA,SÃO TEOTÓNIO,NÃO,ATIVA,
29E/01HA,SÃO MIGUEL DO SUL,-,-,144726.26,51614.594,RIBEIRAS DO ALGARVE,RIBEIRA DE SEIXE,-,-,FARO,ALJEZUR,ODECEIXE,NÃO,ATIVA,
31I/01HA,SÍTIO IGREJA,-,-,211159,12965,RIBEIRAS DO ALGARVE,RIBEIRA DE SÃO LOURENCO OU GOLDRA,-,-,FARO,LOULÉ,ALMANSIL,NÃO,INSTALAÇÃO AUTOMÁTICA,
29J/01HA,TAVILHÃO,-,-,211972.63,47925.23,GUADIANA,RIBEIRA DO VASCÃO,-,-,BEJA,ALMODÔVAR,SANTA CRUZ,NÃO,ATIVA,
31I/02HA,VALE DE LOBO,-,-,205622,10502,RIBEIRAS DO ALGARVE,RIBEIRA DE CARCAVA,-,-,FARO,LOULÉ,ALMANSIL,NÃO,INSTALAÇÃO AUTOMÁTICA,
31K/06HA,VÁRZEAS,-,-,229900,20866,RIBEIRAS DO ALGARVE,RIBEIRO DO BARRANCO DO LAGAR,-,-,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,NÃO,INSTALAÇÃO AUTOMÁTICA,


Dados obtidos através do site http://snirh.apambiente.pt em 25/03/2022 17:17
