Code,Name,Description,Category,url,status,EnumName
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",S,,active,AQUACULTURE_FACILITY
CNLA,aqueduct,a conduit used to carry water,H,,active,AQUEDUCT
ARCH,arch,a natural or man-made structure in the form of an arch,S,,active,ARCH
LAND,Arctic land,a tract of land in the Arctic,L,,active,ARCTIC_LAND
AREA,area,a tract of land without homogeneous character or boundaries,L,,active,AREA
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T,,active,ARTIFICIAL_ISLAND
RNGA,artillery range,a tract of land used for artillery firing practice,L,,active,ARTILLERY_RANGE
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,T,,active,ASPHALT_LAKE
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,S,,active,ASTRONOMICAL_STATION
ASYL,asylum,a facility where the insane are cared for and protected,S,,active,ASYLUM
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",S,,active,ATHLETIC_FIELD
ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,T,,active,ATOLL_S
CTRA,atomic center,a facility where atomic research is carried out,S,,active,ATOMIC_CENTER
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",T,,active,BADLANDS
BSTN,baling station,a facility for baling agricultural products,S,,active,BALING_STATION
ESTB,banana plantation,an estate that specializes in the growing of bananas,S,,active,BANANA_PLANTATION
BAN,bank,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",S,,active,BANK
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H,,active,BANK_S
BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",T,,active,BAR
BRKS,barracks,a building for lodging military personnel,S,,active,BARRACKS
BTL,battlefield,a site of a land battle of historical importance,L,,active,BATTLEFIELD
BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",H,,active,BAY
BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",H,,active,BAYS
BCH,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,,active,BEACH
RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series",T,,active,BEACH_RIDGE
BCHS,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,,active,BEACHES
BCN,beacon,a fixed artificial navigation mark,S,,active,BEACON
BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,,active,BENCH
BGHT,bight(s),an open body of water forming a slight recession in a coastline,H,,active,BIGHT_S
BLHL,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air,T,,active,BLOWHOLE_S
BLOW,blowout(s),"a small depression in sandy terrain, caused by wind erosion",T,,active,BLOWOUT_S
BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels",S,,active,BOATYARD
BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",H,,active,BOG_S
PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods,S,,active,BORDER_POST
BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks",T,,active,BOULDER_FIELD
BP,boundary marker,a fixture marking a point along a boundary,S,,active,BOUNDARY_MARKER
BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port,S,,active,BREAKWATER
MFGB,brewery,one or more buildings where beer is brewed,S,,active,BREWERY
BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",S,,active,BRIDGE
ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent,A,,active,BUFFER_ZONE
BLDG,building(s),"a structure built for permanent use, as a house, factory, etc.",S,,active,BUILDING_S
BUR,burial cave(s),a cave used for human burials,S,,active,BURIAL_CAVE_S
BUSH,bush(es),a small clump of conspicuous bushes in an otherwise bare area,V,,active,BUSH_ES
CTRB,business center,a place where a number of businesses are located,L,,active,BUSINESS_CENTER
BUTE,butte(s),"a small, isolated, usually flat-topped hill with steep sides",T,,active,BUTTE_S
CARN,cairn,a heap of stones erected as a landmark or for other purposes,S,,active,CAIRN
CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain,T,,active,CALDERA
CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use",S,,active,CAMP_S
CNL,canal,an artificial watercourse,H,,active,CANAL
CNLB,canal bend,a conspicuously curved or bent section of a canal,H,,active,CANAL_BEND
TNLC,canal tunnel,a tunnel through which a canal passes,H,,active,CANAL_TUNNEL
STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened",H,,active,CANALIZED_STREAM
MFGC,cannery,a building where food items are canned,S,,active,CANNERY
CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",T,,active,CANYON
CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",T,,active,CAPE
PPLC,capital of a political entity,capital of a political entity,P,,active,CAPITAL_OF_A_POLITICAL_ENTITY
RTE,caravan route,the route taken by caravans,R,,active,CARAVAN_ROUTE
CSNO,casino,"a building used for entertainment, especially gambling",S,,active,CASINO
CSTL,castle,a large fortified building or set of buildings,S,,active,CASTLE
TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control,S,,active,CATTLE_DIPPING_TANK
CSWY,causeway,a raised roadway across wet ground or shallow water,R,,active,CAUSEWAY
CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff",S,,active,CAVE_S
CMTY,cemetery,a burial place or ground,S,,active,CEMETERY
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",H,,active,CHANNEL
MNCR,chrome mine(s),a mine where chrome ore is extracted,S,,active,CHROME_MINE_S
CH,church,a building for public Christian worship,S,,active,CHURCH
CRQ,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,,active,CIRQUE
CRQS,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,,active,CIRQUES
CLG,clearing,an area in a forest with trees removed,L,,active,CLEARING
CFT,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff",T,,active,CLEFT_S
CLF,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area",T,,active,CLIFF_S
HSPC,clinic,a medical facility associated with a hospital for outpatients,S,,active,CLINIC
MNC,coal mine(s),a mine where coal is extracted,S,,active,COAL_MINE_S
COLF,coalfield,a region in which coal deposits of possible economic value occur,L,,active,COALFIELD
CST,coast,a zone of variable width straddling the shoreline,L,,active,COAST
STNC,coast guard station,a facility from which the coast is guarded by armed vessels,S,,active,COAST_GUARD_STATION
GRVC,coconut grove,a planting of coconut trees,V,,active,COCONUT_GROVE
SCHC,college,the grounds and buildings of an institution of higher learning,S,,active,COLLEGE
CMN,common,a park or pasture for community use,L,,active,COMMON
COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",S,,active,COMMUNICATION_CENTER
CTRCM,community center,a facility for community recreation and other activities,S,,active,COMMUNITY_CENTER
CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry",L,,active,CONCESSION_AREA
CONE,cone(s),a conical landform composed of mud or volcanic material,T,,active,CONE_S
CNFL,confluence,a place where two or more streams or intermittent streams flow together,H,,active,CONFLUENCE
CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope,U,,active,CONTINENTAL_RISE
CVNT,convent,a building where a community of nuns lives in seclusion,S,,active,CONVENT
MNCU,copper mine(s),a mine where copper ore is extracted,S,,active,COPPER_MINE_S
MFGCU,copper works,a facility for processing copper ore,S,,active,COPPER_WORKS
RFC,coral reef(s),a surface-navigation hazard composed of coral,H,,active,CORAL_REEF_S
CRRL,corral(s),a pen or enclosure for confining or capturing animals,S,,active,CORRAL_S
CRDR,corridor,a strip or area of land having significance as an access way,T,,active,CORRIDOR
ESTC,cotton plantation,an estate specializing in the cultivation of cotton,S,,active,COTTON_PLANTATION
HSEC,country house,"a large house, mansion, or chateau, on a large estate",S,,active,COUNTRY_HOUSE
CTHSE,courthouse,a building in which courts of law are held,S,,active,COURTHOUSE
COVE,cove(s),"a small coastal indentation, smaller than a bay",H,,active,COVE_S
LKC,crater lake,a lake in a crater or caldera,H,,active,CRATER_LAKE
LKSC,crater lakes,lakes in a crater or caldera,H,,active,CRATER_LAKES
CRTR,crater(s),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action,T,,active,CRATER_S
CUET,cuesta(s),an asymmetric ridge formed on tilted strata,T,,active,CUESTA_S
CULT,cultivated area,an area under cultivation,V,,active,CULTIVATED_AREA
CRNT,current,a horizontal flow of water in a given direction with uniform velocity,H,,active,CURRENT
CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared",S,,active,CUSTOMS_HOUSE
PSTC,customs post,a building at an international boundary where customs and duties are paid on goods,S,,active,CUSTOMS_POST
CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck,H,,active,CUTOFF
DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products",S,,active,DAIRY
DAM,dam,a barrier constructed across a stream to impound water,S,,active,DAM
DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",U,,active,DEEP
DLTA,delta,a flat plain formed by alluvial deposits at the mouth of a stream,T,,active,DELTA
PCLD,dependent political entity,dependent political entity,A,,active,DEPENDENT_POLITICAL_ENTITY
DPR,depression(s),a low area surrounded by higher land and usually characterized by interior drainage,T,,active,DEPRESSION_S
DSRT,desert,a large area with little or no vegetation due to extreme environmental conditions,T,,active,DESERT
PPLW,destroyed populated place,"a village, town or city destroyed by a natural disaster, or by war",P,,active,DESTROYED_POPULATED_PLACE
MNDT,diatomite mine(s),a place where diatomaceous earth is extracted,S,,active,DIATOMITE_MINE_S
DIKE,dike,an earth or stone embankment usually constructed for flood or stream control,S,,active,DIKE
DIP,diplomatic facility,"office, residence, or facility of a foreign government, which may include an embassy, consulate, chancery, office of charge d’affaires, or other diplomatic, economic, military, or cultural mission",S,,active,DIPLOMATIC_FACILITY
HSPD,dispensary,a building where medical or dental aid is dispensed,S,,active,DISPENSARY
STMD,distributary(-ies),"a branch which flows away from the main stream, as in a delta or irrigation canal",H,,active,DISTRIBUTARY_IES
DTCH,ditch,a small artificial watercourse dug for draining or irrigating the land,H,,active,DITCH
DTCHM,ditch mouth(s),"an area where a drainage ditch enters a lagoon, lake or bay",H,,active,DITCH_MOUTH_S
DVD,divide,a line separating adjacent drainage basins,T,,active,DIVIDE
DCK,dock(s),"a waterway between two piers, or cut into the land for the berthing of ships",H,,active,DOCK_S
DCKB,docking basin,a part of a harbor where ships dock,H,,active,DOCKING_BASIN
DCKY,dockyard,"a facility for servicing, building, or repairing ships",S,,active,DOCKYARD
BSND,drainage basin,an area drained by a stream,L,,active,DRAINAGE_BASIN
CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches,H,,active,DRAINAGE_CANAL
DTCHD,drainage ditch,a ditch which serves to drain the land,H,,active,DRAINAGE_DITCH
DCKD,dry dock,"a dock providing support for a vessel, and means for removing the water so that the bottom of the vessel can be exposed",S,,active,DRY_DOCK
SBED,dry stream bed,a channel formerly containing the water of a stream,T,,active,DRY_STREAM_BED
DUNE,dune(s),"a wave form, ridge or star shape feature composed of sand",T,,active,DUNE_S
RGNE,economic region,a region of a country established for economic development or for statistical purposes,L,,active,ECONOMIC_REGION
SCRP,escarpment,a long line of cliffs or steep slopes separating level surfaces above and below,T,,active,ESCARPMENT
EST,estate(s),a large commercialized agricultural landholding with associated buildings and other facilities,S,,active,ESTATE_S
ESTY,estuary,a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences,H,,active,ESTUARY
STNE,experiment station,a facility for carrying out experiments,S,,active,EXPERIMENT_STATION
FCL,facility,"a building or buildings housing a center, institute, foundation, hospital, prison, mission, courthouse, etc.",S,,active,FACILITY
CTRF,facility center,a place where more than one facility is situated,S,,active,FACILITY_CENTER
MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated",S,,active,FACTORY
FAN,fan(s),a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain,T,,active,FAN_S
FRM,farm,a tract of land with associated buildings devoted to agriculture,S,,active,FARM
PPLF,farm village,a populated place where the population is largely engaged in agricultural activities,P,,active,FARM_VILLAGE
FRMS,farms,tracts of land with associated buildings devoted to agriculture,S,,active,FARMS
FRMT,farmstead,the buildings and adjacent service areas of a farm,S,,active,FARMSTEAD
FY,ferry,a boat or other floating conveyance and terminal facilities regularly used to transport people and vehicles across a waterbody,S,,active,FERRY
FYT,ferry terminal,"a place where ferries pick-up and discharge passengers, vehicles and or cargo",S,,active,FERRY_TERMINAL
FLD,field(s),an open as opposed to wooded area,L,,active,FIELD_S
FIRE,fire station,building housing firefighters and/or fire fighting equipment,S,,active,FIRE_STATION
ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",A,,active,FIRST_ORDER_ADMINISTRATIVE_DIVISION
FISH,fishing area,"a fishing ground, bank or area where fishermen go to catch fish",H,,active,FISHING_AREA
PNDSF,fishponds,ponds or enclosures in which fish are kept or raised,H,,active,FISHPONDS
FSR,fissure,a crack associated with volcanism,T,,active,FISSURE
FJD,fjord,"a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts",H,,active,FJORD
FJDS,fjords,"long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts",H,,active,FJORDS
FORD,ford,a shallow part of a stream which can be crossed on foot or by land vehicle,T,,active,FORD
RESF,forest reserve,a forested area set aside for preservation or controlled use,L,,active,FOREST_RESERVE
STNF,forest station,a collection of buildings and facilities for carrying out forest management,S,,active,FOREST_STATION
FRST,forest(s),an area dominated by tree vegetation,V,,active,FOREST_S
INLTQ,former inlet,"an inlet which has been filled in, or blocked by deposits",H,,active,FORMER_INLET
MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill,S,,active,FORMER_SUGAR_MILL
FT,fort,a defensive structure or earthworks,S,,active,FORT
FRSTF,fossilized forest,a forest fossilized by geologic processes and now exposed at the earth's surface,V,,active,FOSSILIZED_FOREST
FNDY,foundry,a building or works where metal casting is carried out,S,,active,FOUNDRY
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,A,,active,FOURTH_ORDER_ADMINISTRATIVE_DIVISION
ZNF,free trade zone,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations",S,,active,FREE_TRADE_ZONE
PCLF,freely associated state,freely associated state,A,,active,FREELY_ASSOCIATED_STATE
DPOF,fuel depot,an area where fuel is stored,S,,active,FUEL_DEPOT
GAP,gap,"a low place in a ridge, not used for transportation",T,,active,GAP
GDN,garden(s),an enclosure for displaying selected plant or animal life,S,,active,GARDEN_S
GOSP,gas-oil separator plant,a facility for separating gas from oil,S,,active,GAS_OIL_SEPARATOR_PLANT
GASF,gasfield,an area containing a subterranean store of natural gas of economic value,L,,active,GASFIELD
GATE,gate,a controlled access entrance or exit,S,,active,GATE
GYSR,geyser,a type of hot spring with intermittent eruptions of jets of hot water and steam,H,,active,GEYSER
GHAT,ghāt,"a set of steps leading to a river, which are of religious significance, and at their base is usually a platform for bathing",S,,active,GH_T
GLCR,glacier(s),"a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses",H,,active,GLACIER_S
MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted",S,,active,GOLD_MINE_S
RECG,golf course,a recreation field where golf is played,S,,active,GOLF_COURSE
GRGE,gorge(s),"a short, narrow, steep-sided section of a stream valley",T,,active,GORGE_S
GRSLD,grassland,an area dominated by grass vegetation,V,,active,GRASSLAND
GRVE,grave,a burial site,S,,active,GRAVE
GVL,gravel area,an area covered with gravel,L,,active,GRAVEL_AREA
GRAZ,grazing area,an area of grasses and shrubs used for grazing,L,,active,GRAZING_AREA
GHSE,guest house,a house used to provide lodging for paying guests,S,,active,GUEST_HOUSE
GULF,gulf,"a large recess in the coastline, larger than a bay",H,,active,GULF
HLT,halting place,a place where caravans stop for rest,S,,active,HALTING_PLACE
HMCK,hammock(s),"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups",T,,active,HAMMOCK_S
AIRG,hangar,a covered and usually enclosed area for housing and repairing aircraft,S,,active,HANGAR
VALG,hanging valley,a valley the floor of which is notably higher than the valley or shore to which it leads; most common in areas that have been glaciated,T,,active,HANGING_VALLEY
HBR,harbor(s),a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships,H,,active,HARBOR_S
HDLD,headland,a high projection of land extending into a large body of water beyond the line of the coast,T,,active,HEADLAND
STMH,headwaters,"the source and upper part of a stream, including the upper drainage basin",H,,active,HEADWATERS
HTH,heath,an upland moor or sandy area dominated by low shrubby vegetation including heather,V,,active,HEATH
AIRH,heliport,a place where helicopters land and take off,S,,active,HELIPORT
HERM,hermitage,"a secluded residence, usually for religious sects",S,,active,HERMITAGE
HLL,hill,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,T,,active,HILL
HLLS,hills,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m,T,,active,HILLS
ADMDH,historical administrative division,"a former administrative division of a political entity, undifferentiated as to administrative level",A,,active,HISTORICAL_ADMINISTRATIVE_DIVISION
ADM1H,historical first-order administrative division,a former first-order administrative division,A,,active,HISTORICAL_FIRST_ORDER_ADMINISTRATIVE_DIVISION
ADM4H,historical fourth-order administrative division,a former fourth-order administrative division,A,,active,HISTORICAL_FOURTH_ORDER_ADMINISTRATIVE_DIVISION
PCLH,historical political entity,a former political entity,A,,active,HISTORICAL_POLITICAL_ENTITY
PPLH,historical populated place,a populated place that no longer exists,P,,active,HISTORICAL_POPULATED_PLACE
RRH,historical railroad,a former permanent twin steel-rail track on which freight and passenger cars move long distances,R,,active,HISTORICAL_RAILROAD
RSTNH,historical railroad station,"a former facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S,,active,HISTORICAL_RAILROAD_STATION
RGNH,historical region,a former area distinguished by one or more observable physical or cultural characteristics,L,,active,HISTORICAL_REGION
ADM2H,historical second-order administrative division,a former second-order administrative division,A,,active,HISTORICAL_SECOND_ORDER_ADMINISTRATIVE_DIVISION
HSTS,historical site,a place of historical importance,S,,active,HISTORICAL_SITE
ADM3H,historical third-order administrative division,a former third-order administrative division,A,,active,HISTORICAL_THIRD_ORDER_ADMINISTRATIVE_DIVISION
UFHU,historical undersea feature,an undersea feature whose existence has been subsequently disproved,U,,active,HISTORICAL_UNDERSEA_FEATURE
HMSD,homestead,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand",S,,active,HOMESTEAD
HSP,hospital,"a building in which sick or injured, especially those confined to bed, are medically treated",S,,active,HOSPITAL
SPNT,hot spring(s),a place where hot ground water flows naturally out of the ground,H,,active,HOT_SPRING_S
HTL,hotel,a building providing lodging and/or meals for the public,S,,active,HOTEL
HSE,house(s),a building used as a human habitation,S,,active,HOUSE_S
DEVH,housing development,a tract of land on which many houses of similar design are built according to a development plan,L,,active,HOUSING_DEVELOPMENT
RESH,hunting reserve,a tract of land used primarily for hunting,L,,active,HUNTING_RESERVE
HUT,hut,a small primitive house,S,,active,HUT
HUTS,huts,small primitive houses,S,,active,HUTS
PSH,hydroelectric power station,a building where electricity is generated from water power,S,,active,HYDROELECTRIC_POWER_STATION
CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,H,,active,ICECAP
DPRG,icecap depression,a comparatively depressed area on an icecap,H,,active,ICECAP_DEPRESSION
DOMG,icecap dome,a comparatively elevated area on an icecap,H,,active,ICECAP_DOME
RDGG,icecap ridge,a linear elevation on an icecap,H,,active,ICECAP_RIDGE
PCLI,independent political entity,independent political entity,A,,active,INDEPENDENT_POLITICAL_ENTITY
INDS,industrial area,an area characterized by industrial activity,L,,active,INDUSTRIAL_AREA
INLT,inlet,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",H,,active,INLET
STNI,inspection station,"a station at which vehicles, goods, and people are inspected",S,,active,INSPECTION_STATION
TRGD,interdune trough(s),a long wind-swept trough between parallel longitudinal dunes,T,,active,INTERDUNE_TROUGH_S
INTF,interfluve,a relatively undissected upland between adjacent stream valleys,T,,active,INTERFLUVE
LKI,intermittent lake,intermittent lake,H,,active,INTERMITTENT_LAKE
LKSI,intermittent lakes,intermittent lakes,H,,active,INTERMITTENT_LAKES
LKOI,intermittent oxbow lake,intermittent oxbow lake,H,,active,INTERMITTENT_OXBOW_LAKE
PNDI,intermittent pond,intermittent pond,H,,active,INTERMITTENT_POND
PNDSI,intermittent ponds,intermittent ponds,H,,active,INTERMITTENT_PONDS
POOLI,intermittent pool,intermittent pool,H,,active,INTERMITTENT_POOL
RSVI,intermittent reservoir,intermittent reservoir,H,,active,INTERMITTENT_RESERVOIR
LKNI,intermittent salt lake,intermittent salt lake,H,,active,INTERMITTENT_SALT_LAKE
LKSNI,intermittent salt lakes,intermittent salt lakes,H,,active,INTERMITTENT_SALT_LAKES
PNDNI,intermittent salt pond(s),intermittent salt pond(s),H,,active,INTERMITTENT_SALT_POND_S
STMI,intermittent stream,intermittent stream,H,,active,INTERMITTENT_STREAM
WTLDI,intermittent wetland,intermittent wetland,H,,active,INTERMITTENT_WETLAND
RDIN,intersection,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams,S,,active,INTERSECTION
MNFE,iron mine(s),a mine where iron ore is extracted,S,,active,IRON_MINE_S
FLDI,irrigated field(s),a tract of level or terraced land which is irrigated,L,,active,IRRIGATED_FIELD_S
CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water,H,,active,IRRIGATION_CANAL
DTCHI,irrigation ditch,a ditch which serves to distribute irrigation water,H,,active,IRRIGATION_DITCH
SYSI,irrigation system,"a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.",H,,active,IRRIGATION_SYSTEM
ISL,island,"a tract of land, smaller than a continent, surrounded by water at high water",T,,active,ISLAND
ISLS,islands,"tracts of land, smaller than a continent, surrounded by water at high water",T,,active,ISLANDS
STLMT,Israeli settlement,Israeli settlement,P,,active,ISRAELI_SETTLEMENT
ISTH,isthmus,a narrow strip of land connecting two larger land masses and bordered by water,T,,active,ISTHMUS
JTY,jetty,a structure built out into the water at a river mouth or harbor entrance to regulate currents and silting,S,,active,JETTY
KRST,karst area,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage",T,,active,KARST_AREA
CMPLA,labor camp,a camp used by migrant or temporary laborers,S,,active,LABOR_CAMP
LGN,lagoon,"a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,,active,LAGOON
LGNS,lagoons,"shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature",H,,active,LAGOONS
LK,lake,a large inland body of standing water,H,,active,LAKE
LBED,lake bed(s),a dried up or drained area of a former lake,H,,active,LAKE_BED_S
CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc.",H,,active,LAKE_CHANNEL_S
RGNL,lake region,a tract of land distinguished by numerous lakes,L,,active,LAKE_REGION
LKS,lakes,large inland bodies of standing water,H,,active,LAKES
ISLT,land-tied island,"a coastal island connected to the mainland by barrier beaches, levees or dikes",T,,active,LAND_TIED_ISLAND
LNDF,landfill,a place for trash and garbage disposal in which the waste is buried between layers of earth to build up low-lying land,S,,active,LANDFILL
LDNG,landing,"a place where boats receive or discharge passengers and freight, but lacking most port facilities",S,,active,LANDING
LAVA,lava area,an area of solidified lava,T,,active,LAVA_AREA
MNPB,lead mine(s),a mine where lead ore is extracted,S,,active,LEAD_MINE_S
LTER,leased area,a tract of land leased by the United Kingdom from the People's Republic of China to form part of Hong Kong,A,,active,LEASED_AREA
LEPC,leper colony,a settled area inhabited by lepers in relative isolation,S,,active,LEPER_COLONY
HSPL,leprosarium,an asylum or hospital for lepers,S,,active,LEPROSARIUM
LEV,levee,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods,T,,active,LEVEE
LTHSE,lighthouse,a distinctive structure exhibiting a major navigation light,S,,active,LIGHTHOUSE
MFGLM,limekiln,a furnace in which limestone is reduced to lime,S,,active,LIMEKILN
