,marker site,latitude,longitude,estacao3,estacao
574,2075800,38.28418,-8.06084,488/969,488/969
575,2075814,38.24418,-8.03833,488/970,488/970
576,2075842,38.2839,-8.08389,488/972,488/972
577,2075772,38.17779,-7.89833,499/201,499/201
578,2076182,38.13668,-7.90277,499/202,499/202
579,2076280,38.19335,-7.80472,499/203,499/203
580,2076294,38.17168,-7.81,499/204,499/204
581,34300,38.14357,-7.45086,501/63,501/63
582,17266,38.14636,-7.43777,501/65,501/65
583,2076448,38.14336,-7.50305,501/311,501/311
584,2007186,38.10115,-8.77362,505/38,505/38
585,2007160,38.07025,-8.78242,505/67,505/67
586,2075730,38.13279,-7.97138,509/294,509/294
587,2075744,38.11084,-8.03833,509/296,509/296
588,2076056,38.0614,-7.9661,509/299,509/299
589,2076070,38.08835,-8.11027,509/300,509/300
590,2076084,38.05862,-8.10749,509/301,509/301
591,2076098,38.08085,-8.01555,509/302,509/302
592,2076112,38.05695,-7.82805,510/65,510/65
593,2076168,38.08057,-7.93889,510/66,510/66
594,2076196,38.12085,-7.84416,510/68,510/68
595,17043,38.05939,-7.5964,511/71,511/71
596,17281,38.09841,-7.43838,512/32,512/32
597,17271,38.06744,-7.45294,512/50,512/50
598,2076420,38.12197,-7.54778,512/210,512/210
599,2076434,38.05502,-7.46333,512/211,512/211
600,2075640,38.11141,-7.41472,512/212,512/212
601,2076470,38.0528,-7.41361,512/215,512/215
602,17279,38.0823,-7.37808,513/34,513/34
603,61917,38.08229,-7.37804,513/35,513/35
604,2005400,38.03546,-8.80571,516/15,516/15
605,2007184,37.97434,-8.82677,516/18,516/18
606,72096,38.01333,-8.76972,516/80,516/80
607,2074388,38.00755,-8.8122,516/185,516/185
608,2074402,37.98952,-8.82941,516/186,516/186
609,2074416,37.97967,-8.83251,516/187,516/187
610,2074436,38.00042,-8.82919,516/188,516/188
611,2074450,37.98415,-8.78156,516/189,516/189
612,2074466,37.9641,-8.79485,516/190,516/190
613,2074480,37.98786,-8.77293,516/191,516/191
614,2074494,37.97987,-8.84741,516/192,516/192
615,2027698,37.9839,-8.38881,518/30,518/30
616,2075930,37.99585,-8.1711,519/98,519/98
617,2038724,38.02895,-8.24339,519/300,519/300
618,2075912,37.98696,-8.12527,520/60,520/60
619,62054,38.01226,-7.88576,521/34,521/34
620,2076028,37.97834,-7.8836,521/446,521/446
621,2076042,38.01223,-7.88555,521/447,521/447
622,2078410,38.00285,-7.89247,521/455,521/455
623,17035,37.96012,-7.60984,522/200,522/200
624,2076140,37.99669,-7.62332,522/253,522/253
625,2076154,37.96057,-7.72472,522/254,522/254
626,2076210,38.00918,-7.61055,522/255,522/255
627,17037,37.97139,-7.52555,523/29,523/29
628,17036,37.98192,-7.55351,523/30,523/30
629,17045,37.99806,-7.51945,523/31,523/31
630,17052,38.00987,-7.46963,523/32,523/32
631,17051,38.00083,-7.49306,523/33,523/33
632,17042,37.98793,-7.46151,523/36,523/36
633,17044,37.98888,-7.40976,523/38,523/38
634,17046,37.96389,-7.48722,523/40,523/40
635,17047,37.99329,-7.53523,523/41,523/41
636,17048,37.99078,-7.56007,523/42,523/42
637,17049,37.98982,-7.5639,523/43,523/43
638,17050,37.99378,-7.56923,523/44,523/44
639,2076350,38.0364,-7.54722,523/68,523/68
640,2076364,38.02697,-7.48416,523/70,523/70
641,2076378,37.98224,-7.5536,523/72,523/72
642,68152,38.02545,-7.30374,524/40,524/40
643,17286,37.98112,-7.28281,524/49,524/49
644,17278,38.01498,-7.33578,524/50,524/50
645,17283,38.01004,-7.39023,524/51,524/51
646,17032,37.96696,-7.38342,524/60,524/60
647,17038,38.01292,-7.39151,524/82,524/82
648,33995,38.01424,-7.39264,524/83,524/83
649,17040,37.95499,-7.29146,524/85,524/85
650,2076484,38.02835,-7.3975,524/114,524/114
651,2077770,38.03665,-7.28683,524/116,524/116
652,2074530,37.94451,-8.82581,526/71,526/71
653,2074544,37.93454,-8.8023,526/72,526/72
654,2074558,37.9387,-8.79348,526/73,526/73
655,2074572,37.9444,-8.78583,526/74,526/74
656,2027706,37.9177,-8.41245,528/16,528/16
657,2075870,37.9028,-8.19693,529/54,529/54
658,2075884,37.88529,-8.28165,529/55,529/55
659,2075898,37.90613,-8.23554,529/56,529/56
660,2075958,37.86584,-8.20499,529/58,529/58
661,2075986,37.95335,-8.0986,530/37,530/37
662,2076000,37.91501,-7.96583,530/38,530/38
663,2076454,37.93251,-7.7861,531/46,531/46
664,62469,37.94765,-7.649,532/75,532/75
665,17034,37.92164,-7.60461,532/136,532/136
666,17033,37.93778,-7.63089,532/153,532/153
667,17053,37.89947,-7.55301,533/43,533/43
668,33996,37.93223,-7.42028,533/51,533/51
669,2076392,37.92807,-7.57832,533/74,533/74
670,33998,37.80695,-7.485,542/19,542/19
671,17022,37.71162,-7.6072,550/28,550/28
672,17024,37.7046,-7.47764,551/27,551/27
673,17023,37.68206,-7.64262,558/11,558/11
674,34002,37.62144,-7.62184,558/49,558/49
675,34003,37.646,-7.66156,558/52,558/52
676,34004,37.64404,-7.66391,558/53,558/53
677,17031,37.65916,-7.57195,559/1,559/1
678,17021,37.60607,-7.53199,559/17,559/17
679,17027,37.67665,-7.4877,559/21,559/21
680,17030,37.62485,-7.52858,559/25,559/25
681,17028,37.58974,-7.56319,567/11,567/11
682,17523,37.43423,-7.77274,573/15,573/15
683,100094,37.32463,-8.7999,576/1,576/1
684,17526,37.3309,-7.81601,581/41,581/41
685,100192,37.32307,-8.79572,584/4,584/4
686,100193,37.32104,-8.79872,584/7,584/7
687,100194,37.31846,-8.79881,584/8,584/8
688,100195,37.3134,-8.79388,584/9,584/9
689,100196,37.30863,-8.79706,584/10,584/10
690,100197,37.30527,-8.7988,584/11,584/11
691,100198,37.31562,-8.80205,584/13,584/13
692,100367,37.31607,-8.80206,584/14,584/14
693,2021046,37.31827,-8.80041,584/22,584/22
694,2021040,37.31375,-8.80241,584/39,584/39
695,17527,37.32347,-8.5609,585/78,585/78
696,100012,37.26079,-8.30973,587/1,587/1
697,100013,37.2433,-8.25075,587/7,587/7
698,100014,37.24343,-8.19338,587/19,587/19
699,100409,37.24218,-8.28185,587/20,587/20
700,107611,37.24388,-8.25003,587/39,587/39
701,17528,37.3062,-8.24419,587/101,587/101
702,100425,37.23702,-8.05533,588/1,588/1
703,100426,37.23612,-8.05386,588/2,588/2
704,17529,37.24329,-7.83101,589/31,589/31
705,17530,37.23806,-7.93869,589/32,589/32
706,17531,37.28188,-7.47231,591/62,591/62
707,2059330,37.28238,-7.47171,591/94,591/94
708,100213,37.16384,-8.68824,593/1,593/1
709,100215,37.1461,-8.74146,593/3,593/3
710,17533,37.16256,-8.70586,593/5,593/5
711,17534,37.23041,-8.81886,593/54,593/54
712,100218,37.1526,-8.6231,594/4,594/4
713,100237,37.19455,-8.58811,594/28,594/28
714,100242,37.20012,-8.58984,594/34,594/34
715,100252,37.16595,-8.60418,594/47,594/47
716,106087,37.17409,-8.56401,594/56,594/56
717,100270,37.15097,-8.5648,594/71,594/71
718,100039,37.16682,-8.61319,594/95,594/95
719,101517,37.18326,-8.56413,594/102,594/102
720,100294,37.16581,-8.59762,594/109,594/109
721,100015,37.16449,-8.55416,594/150,594/150
722,100330,37.17675,-8.62539,594/159,594/159
723,100332,37.17515,-8.59306,594/162,594/162
724,100392,37.19229,-8.58754,594/163,594/163
725,100340,37.20074,-8.5924,594/172,594/172
726,71833,37.1487,-8.66928,594/400,594/400
727,2059690,37.15193,-8.54264,594/466,594/466
728,100040,37.19485,-8.35756,595/55,595/55
729,100045,37.19667,-8.34405,595/76,595/76
730,100016,37.20375,-8.31625,595/80,595/80
731,100018,37.1867,-8.41542,595/121,595/121
732,100017,37.20263,-8.38586,595/160,595/160
733,100019,37.1957,-8.33582,595/212,595/212
734,100041,37.17824,-8.43874,595/215,595/215
735,100645,37.15157,-8.31882,595/218,595/218
736,101522,37.18727,-8.36697,595/306,595/306
737,101524,37.20186,-8.38501,595/308,595/308
738,101525,37.16935,-8.45792,595/309,595/309
739,72811,37.18163,-8.33716,595/1016,595/1016
740,72815,37.20996,-8.33933,595/1024,595/1024
741,72818,37.20707,-8.3527,595/1025,595/1025
742,72821,37.1957,-8.37947,595/1028,595/1028
743,72824,37.17933,-8.41055,595/1033,595/1033
744,2002788,37.18255,-8.37813,595/1056,595/1056
745,100020,37.18846,-8.16629,596/19,596/19
746,105453,37.20478,-8.1814,596/24,596/24
747,100722,37.20162,-8.20202,596/27,596/27
748,100021,37.204,-8.15937,596/35,596/35
749,100022,37.18855,-8.21271,596/51,596/51
750,100002,37.22777,-8.28506,596/59,596/59
751,100764,37.21999,-8.30006,596/86,596/86
752,100001,37.19615,-8.26847,596/122,596/122
753,106141,37.1809,-8.28747,596/194,596/194
754,100003,37.16547,-8.26511,596/218,596/218
755,100883,37.23365,-8.22116,596/243,596/243
756,100885,37.2047,-8.28336,596/245,596/245
757,100004,37.19331,-8.22276,596/259,596/259
758,100037,37.23059,-8.31094,596/262,596/262
759,100893,37.1864,-8.19165,596/272,596/272
760,100894,37.18955,-8.1939,596/273,596/273
761,100896,37.19225,-8.19109,596/275,596/275
762,100897,37.19415,-8.18546,596/276,596/276
763,100898,37.19766,-8.18659,596/277,596/277
764,100899,37.19676,-8.18997,596/278,596/278
765,100900,37.20351,-8.20518,596/279,596/279
766,100901,37.1918,-8.20359,596/284,596/284
767,101001,37.20172,-8.18603,596/302,596/302
768,106145,37.19496,-8.18771,596/322,596/322
769,20217,37.19375,-8.24459,596/399,596/399
770,2040932,37.20553,-8.18103,596/899,596/899
771,100005,37.15667,-8.09458,597/78,597/78
772,100912,37.15577,-8.12239,597/79,597/79
773,100902,37.18595,-8.08747,597/80,597/80
774,105465,37.21332,-8.13126,597/81,597/81
775,100904,37.22154,-8.07281,597/82,597/82
776,100006,37.23507,-8.11956,597/83,597/83
777,100007,37.20389,-7.98315,597/84,597/84
778,100008,37.14669,-7.96746,597/85,597/85
779,100046,37.18677,-8.04106,597/87,597/87
780,101136,37.22064,-8.0745,597/88,597/88
781,100009,37.18551,-8.08618,597/91,597/91
782,101002,37.15712,-8.11226,597/92,597/92
783,101141,37.22155,-8.10492,597/95,597/95
784,100907,37.22153,-8.10603,597/96,597/96
785,106146,37.21254,-8.09985,597/105,597/105
786,100010,37.21887,-8.0481,597/111,597/111
787,101156,37.16987,-8.08985,597/121,597/121
788,101170,37.19109,-8.08466,597/138,597/138
789,17535,37.17836,-7.96136,597/362,597/362
790,17536,37.19494,-8.04447,597/364,597/364
791,17537,37.23502,-8.12177,597/365,597/365
792,71840,37.16628,-8.00161,597/367,597/367
793,2061290,37.14658,-8.00974,597/642,597/642
794,101499,37.17088,-7.90812,598/1,598/1
795,106185,37.16108,-7.87246,598/73,598/73
796,101434,37.15335,-7.91847,598/114,598/114
797,100915,37.16246,-7.87405,598/132,598/132
798,106190,37.20716,-7.81654,598/143,598/143
799,17538,37.17022,-7.90985,598/155,598/155
800,101660,37.18357,-7.45269,600/15,600/15
801,105119,37.17531,-7.47515,600/17,600/17
802,101668,37.18842,-7.48655,600/24,600/24
803,101671,37.20007,-7.47212,600/28,600/28
804,101675,37.18789,-7.50354,600/33,600/33
805,105852,37.19016,-7.50248,600/37,600/37
806,105121,37.18093,-7.43411,600/43,600/43
807,105857,37.1816,-7.42162,600/44,600/44
808,105858,37.18833,-7.42132,600/45,600/45
809,105862,37.18122,-7.42636,600/50,600/50
810,105866,37.18306,-7.44389,600/54,600/54
811,105870,37.17886,-7.49854,600/59,600/59
812,105872,37.17436,-7.5109,600/63,600/63
813,105875,37.17269,-7.52506,600/66,600/66
814,101710,37.17278,-7.56221,600/115,600/115
815,106214,37.1655,-7.56486,600/134,600/134
816,101741,37.15873,-7.58078,600/152,600/152
817,101744,37.14976,-7.59165,600/155,600/155
818,101758,37.1979,-7.52147,600/173,600/173
819,101774,37.2164,-7.4455,600/191,600/191
820,2061490,37.18512,-7.50726,600/266,600/266
821,2061650,37.17266,-7.51497,600/267,600/267
822,2053116,37.18851,-7.44029,600/270,600/270
823,2053106,37.17355,-7.51482,600/295,600/295
824,2081450,37.18222,-7.49391,600/300,600/300
825,101794,37.05667,-8.93153,601/4,601/4
826,101841,37.09239,-8.77826,602/32,602/32
827,101844,37.09247,-8.77984,602/36,602/36
828,101850,37.09497,-8.75943,602/43,602/43
829,101864,37.10645,-8.68681,602/58,602/58
830,101874,37.0762,-8.75496,602/70,602/70
831,101879,37.13893,-8.70422,602/76,602/76
832,101880,37.07615,-8.83174,602/77,602/77
833,101883,37.131,-8.78467,602/81,602/81
834,101895,37.10123,-8.70567,602/95,602/95
835,101965,37.13882,-8.74598,602/178,602/178
836,101973,37.13719,-8.69219,602/187,602/187
837,102019,37.1171,-8.72823,602/242,602/242
838,102061,37.09713,-8.76649,602/292,602/292
839,102078,37.11817,-8.76344,602/311,602/311
840,109224,37.09086,-8.79389,602/360,602/360
841,2046006,37.12721,-8.69344,602/424,602/424
842,2067850,37.13963,-8.74802,602/552,602/552
843,2067970,37.13897,-8.74771,602/553,602/553
844,102127,37.12906,-8.58221,603/19,603/19
845,102132,37.12388,-8.5707,603/26,603/26
846,102141,37.13582,-8.66935,603/38,603/38
847,102144,37.10924,-8.50322,603/41,603/41
848,2040922,37.11571,-8.50391,603/73,603/73
849,71835,37.14439,-8.5796,603/121,603/121
850,2061890,37.14018,-8.57541,603/142,603/142
851,105177,37.11657,-8.3427,604/23,604/23
852,102197,37.14054,-8.40006,604/63,604/63
853,102203,37.14125,-8.39511,604/70,604/70
854,102206,37.12573,-8.40597,604/74,604/74
855,102215,37.10047,-8.416,604/85,604/85
856,102233,37.10034,-8.46662,604/106,604/106
857,102243,37.14218,-8.48842,604/118,604/118
858,102249,37.13033,-8.43783,604/125,604/125
859,71821,37.12794,-8.47974,604/322,604/322
860,2053450,37.09984,-8.41493,604/492,604/492
861,102297,37.11213,-8.30657,605/39,605/39
862,102299,37.12617,-8.24089,605/42,605/42
863,102300,37.09037,-8.26704,605/43,605/43
864,105192,37.10138,-8.25446,605/56,605/56
865,102330,37.10828,-8.18139,605/78,605/78
866,106273,37.11605,-8.15518,605/107,605/107
867,102357,37.11748,-8.14625,605/112,605/112
868,102375,37.10811,-8.16357,605/134,605/134
869,102428,37.09512,-8.18249,605/200,605/200
870,102439,37.09655,-8.21047,605/212,605/212
871,107419,37.08771,-8.29876,605/268,605/268
872,105216,37.12039,-8.13423,605/303,605/303
873,102517,37.09405,-8.16157,605/314,605/314
874,102525,37.12266,-8.19692,605/324,605/324
875,102527,37.11427,-8.25122,605/327,605/327
876,71831,37.0964,-8.17535,605/345,605/345
877,71838,37.14417,-8.20794,605/346,605/346
878,2040928,37.09968,-8.20999,605/431,605/431
879,2062490,37.11081,-8.22134,605/505,605/505
880,107737,37.13415,-8.10326,606/104,606/104
881,107816,37.0999,-8.0846,606/159,606/159
882,107825,37.07218,-8.00725,606/167,606/167
883,107878,37.07719,-8.07418,606/217,606/217
884,107987,37.091,-7.98064,606/319,606/319
885,106626,37.06474,-8.05157,606/647,606/647
886,108626,37.08713,-8.10168,606/953,606/953
887,108644,37.10892,-8.11846,606/971,606/971
888,109178,37.13356,-8.12156,606/979,606/979
889,108656,37.0896,-7.95796,606/985,606/985
890,107724,37.06067,-8.00584,606/1026,606/1026
891,107731,37.06238,-7.95872,606/1033,606/1033
892,107735,37.09664,-7.96717,606/1038,606/1038
893,107739,37.09599,-8.02415,606/1042,606/1042
894,107740,37.10462,-8.05582,606/1043,606/1043
895,107741,37.11961,-8.05124,606/1044,606/1044
896,109143,37.13307,-8.04004,606/1045,606/1045
897,107743,37.1026,-8.07346,606/1047,606/1047
898,107744,37.13864,-8.06724,606/1049,606/1049
899,107746,37.078,-7.99325,606/1050,606/1050
900,107753,37.07428,-8.0411,606/1057,606/1057
901,2081930,37.0643,-8.06956,606/1092,606/1092
902,71823,37.0823,-8.08673,606/1101,606/1101
903,2047288,37.06047,-8.07662,606/1118,606/1118
904,71842,37.05646,-8.045,606/1122,606/1122
905,2046000,37.07083,-7.99598,606/1461,606/1461
906,2062930,37.11165,-8.1124,606/1623,606/1623
907,2062970,37.0824,-8.12736,606/1624,606/1624
908,2063050,37.08242,-8.12734,606/1625,606/1625
909,2077730,37.05643,-8.0452,606/1639,606/1639
910,108695,37.07634,-7.95203,607/25,607/25
911,108710,37.09327,-7.94153,607/41,607/41
912,108743,37.07754,-7.92708,607/74,607/74
913,108762,37.08693,-7.9159,607/93,607/93
914,108882,37.0726,-7.8767,607/217,607/217
915,108924,37.0834,-7.87104,607/259,607/259
916,108942,37.07567,-7.85887,607/278,607/278
917,108978,37.06959,-7.78844,607/319,607/319
918,109033,37.14183,-7.79409,607/378,607/378
919,109039,37.12076,-7.84235,607/390,607/390
920,109067,37.12048,-7.94349,607/419,607/419
921,109097,37.11521,-7.79908,607/451,607/451
922,109109,37.07766,-7.93044,607/467,607/467
923,109115,37.07851,-7.85925,607/476,607/476
924,109119,37.06266,-7.79416,607/484,607/484
925,109120,37.07692,-7.80021,607/485,607/485
926,109121,37.10273,-7.77697,607/486,607/486
927,109123,37.10894,-7.81132,607/488,607/488
928,109209,37.12471,-7.81351,607/489,607/489
929,109124,37.12845,-7.82669,607/492,607/492
930,109125,37.06256,-7.87282,607/493,607/493
931,109239,37.07131,-7.90391,607/497,607/497
932,109128,37.06057,-7.94555,607/498,607/498
933,71846,37.0687,-7.83223,607/564,607/564
934,2063170,37.0563,-7.85789,607/867,607/867
935,2081458,37.11678,-7.79951,607/874,607/874
936,106627,37.12258,-7.67302,608/29,608/29
937,106827,37.10411,-7.71658,608/143,608/143
938,106784,37.0839,-7.72652,608/266,608/266
939,106821,37.0735,-7.71758,608/268,608/268
940,106718,37.07414,-7.75226,608/286,608/286
941,106645,37.08503,-7.77037,608/296,608/296
942,106915,37.13425,-7.69811,608/365,608/365
943,107484,37.13489,-7.69798,608/367,608/367
944,107485,37.14195,-7.69721,608/375,608/375
945,106771,37.13094,-7.73043,608/433,608/433
946,106806,37.13028,-7.72154,608/437,608/437
947,106726,37.10699,-7.74854,608/454,608/454
948,106849,37.10547,-7.71144,608/462,608/462
949,106717,37.07858,-7.75241,608/465,608/465
950,106760,37.08573,-7.73494,608/466,608/466
951,106681,37.11654,-7.76122,608/467,608/467
952,106689,37.12726,-7.75948,608/468,608/468
953,106853,37.09519,-7.71048,608/470,608/470
954,106857,37.0951,-7.70958,608/471,608/471
955,107452,37.0816,-7.73957,608/472,608/472
956,106969,37.09856,-7.6815,608/473,608/473
957,107685,37.12071,-7.68975,608/488,608/488
958,2064290,37.08983,-7.6991,608/580,608/580
959,2064410,37.08965,-7.69883,608/581,608/581
960,2064530,37.10737,-7.66596,608/582,608/582
961,2064650,37.10744,-7.66599,608/583,608/583
962,107043,37.04624,-8.94154,609/7,609/7
963,107119,37.02321,-7.96924,610/6,610/6
964,107519,37.01916,-7.97442,610/65,610/65
965,107077,37.05508,-8.00401,610/167,610/167
966,107073,37.04277,-8.0095,610/179,610/179
967,107074,37.04272,-8.00952,610/180,610/180
968,107098,37.0434,-7.97628,610/182,610/182
969,107099,37.04141,-7.97561,610/183,610/183
970,107066,37.04805,-8.02966,610/186,610/186
971,71844,37.03553,-8.01973,610/213,610/213
972,107582,37.04597,-7.77652,611/4,611/4
973,107344,37.04749,-7.85036,611/77,611/77
974,107340,37.03382,-7.85417,611/91,611/91
975,107341,37.04397,-7.85431,611/94,611/94
976,106628,37.03596,-7.94403,611/115,611/115
977,107259,37.039,-7.92919,611/155,611/155
978,107557,37.02771,-7.91146,611/182,611/182
979,107260,37.03958,-7.92736,611/200,611/200
980,107272,37.04119,-7.91946,611/202,611/202
981,107233,37.05181,-7.94444,611/209,611/209
982,107560,37.03453,-7.89987,611/217,611/217
983,107219,37.04898,-7.94808,611/230,611/230
984,107583,37.04992,-7.86558,611/231,611/231
985,107252,37.05383,-7.93267,611/233,611/233
986,107251,37.05373,-7.93266,611/234,611/234
987,107240,37.03481,-7.94111,611/236,611/236
988,107550,37.03477,-7.94093,611/237,611/237
989,107307,37.0501,-7.8879,611/238,611/238
