SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
REDE:,Meteorológica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
14O/02U,ALCAFOZES,342,39.948781,-7.134712,285322.32,331623.161,342,TEJO,CASTELO BRANCO,IDANHA-A-NOVA,ALCAFOZES,-,CCDR-CENTRO,-,Udométrica,3927,30986,-,-,NÃO,EXTINTA,-
14M/01UG,ALCAINS,371,39.927664,-7.462216,257351.416,329017.029,371,TEJO,CASTELO BRANCO,CASTELO BRANCO,ALCAINS,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29129,-,37797,-,NÃO,ATIVA,-
17E/01U,ALCANEDE,86,39.415414,-8.818053,141012.913,272152.218,86,TEJO,SANTARÉM,SANTARÉM,ALCANEDE,-,CCDR-LVT,-,Udométrica,14991,31320,-,-,NÃO,EXTINTA,-
17F/02CG,ALCANENA,79,39.459028,-8.663052,154389.995,276904.469,79,TEJO,SANTARÉM,ALCANENA,ALCANENA,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Climatológica,29129,31320,42248,-,SIM,ATIVA,-
12L/04UG,ALCARIA,413,40.201278,-7.519447,252249.933,359363.418,413,TEJO,CASTELO BRANCO,FUNDÃO,ALCARIA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29129,-,38119,-,NÃO,ATIVA,-
30L/04UG,ALCARIA (CASTRO MARIM),34,37.191,-7.512,255156.241,25155.555,34,GUADIANA,FARO,CASTRO MARIM,ALTURA,Autoridade Nacional da Água,CCDR-ALGARVE,Udográfica,Udométrica,16893,-,36937,-,NÃO,ATIVA,-
28J/01G,ALCARIA LONGA,173,37.561,-7.862,223936.292,66105.13,173,GUADIANA,BEJA,MÉRTOLA,SÃO MIGUEL DO PINHEIRO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udográfica,18172,-,36930,-,NÃO,ATIVA,-
17D/05U,ALCOBERTAS,124,39.420969,-8.900832,133889.27,272826.377,124,TEJO,SANTARÉM,RIO MAIOR,ALCOBERTAS,-,CCDR-LVT,-,Udométrica,29495,30589,-,-,NÃO,EXTINTA,-
21D/01UG,ALCOCHETE,13,38.753,-8.953,128747.742,198697.01,13,TEJO,SETÚBAL,ALCOCHETE,ALCOCHETE,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,11628,-,36959,-,NÃO,ATIVA,-
18D/03C,ALCOENTRE,69,39.213,-8.96,128587,249748,69,TEJO,LISBOA,AZAMBUJA,ALCOENTRE,Autoridade Nacional da Água,CCDR-LVT,Climatológica,Climatológica,29129,-,37223,-,NÃO,ATIVA,-
17F/03G,ALCOROCHEL,90,39.418,-8.584,161133.109,272334.088,90,TEJO,SANTARÉM,TORRES NOVAS,ALCOROCHEL,-,CCDR-LVT,-,Udográfica,29129,37529,-,-,NÃO,EXTINTA,-
29M/01UG,ALCOUTIM,32,37.46541,-7.472151,258469.809,55670.289,32,GUADIANA,FARO,ALCOUTIM,ALCOUTIM,Autoridade Nacional da Água,CCDR-ALGARVE,Udográfica,Udométrica,13950,-,36936,-,NÃO,ATIVA,-
23I/01C,ALCÁÇOVAS,218,38.390412,-8.151349,198404.29,158137.554,218,SADO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,CCDR-ALENTEJO,Climatológica,Climatológica,11641,-,36959,-,SIM,ATIVA,-
18K/02UG,ALDEIA DA MATA,256,39.303746,-7.724164,235273,259609,256,TEJO,PORTALEGRE,CRATO,ALDEIA DA MATA,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,29129,-,36943,-,NÃO,ATIVA,-
11P/01UG,ALDEIA DA PONTE,814,40.413,-6.869,307283.151,383454.535,814,DOURO,GUARDA,SABUGAL,ALDEIA DA PONTE,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,20682,36891,42488,-,NÃO,ATIVA,-
28H/01G,ALDEIA DE PALHEIROS,210,37.606644,-8.254067,189316.7726,71143.1852,210,MIRA,BEJA,OURIQUE,OURIQUE,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udográfica,11567,-,36923,-,NÃO,ATIVA,-
26M/02G,ALDEIA NOVA DE SÃO BENTO,233,37.943472,-7.409939,263564.656,108772.714,233,GUADIANA,BEJA,SERPA,ALDEIA NOVA DE SÃO BENTO,-,CCDR-ALENTEJO,-,Udográfica,11232,27302,-,-,NÃO,EXTINTA,-
18N/02G,ALEGRETE,449,39.238358,-7.321887,270037,252583,449,GUADIANA,PORTALEGRE,PORTALEGRE,ALEGRETE,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udográfica,29290,-,36944,-,NÃO,ATIVA,-
19C/10U,ALENQUER,34,39.058,-9.012,123930.825,232667.067,34,TEJO,LISBOA,ALENQUER,ALENQUER (TRIANA),-,CCDR-LVT,-,Udométrica,29129,37529,-,-,NÃO,EXTINTA,-
16C/02G,ALFEIZERÃO,13,39.498,-9.096,117165,281559,13,RIBEIRAS DO OESTE,LEIRIA,ALCOBAÇA,ALFEIZERÃO,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udográfica,17569,-,37167,-,SIM,ATIVA,-
30G/01UG,ALFERCE,325,37.333265,-8.49058,168318.3015,40862.4891,325,ARADE,FARO,MONCHIQUE,ALFERCE,Autoridade Nacional da Água,CCDR-ALGARVE,Udográfica,Udométrica,21416,-,36923,-,NÃO,ATIVA,-
05P/04UG,ALFÂNDEGA DA FÉ,558,41.34,-6.966,297727.063,486316.895,558,DOURO,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,4781,-,37652,-,NÃO,ATIVA,-
04G/04UG,ALGERIZ,146,41.596283,-8.375613,179784.363,514131.727,146,CÁVADO/RIBEIRAS COSTEIRAS,BRAGA,BRAGA,SANTA LUCRÉCIA DE ALGERIZ,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,29129,-,39128,42152,NÃO,DESATIVADA,-
27K/01UG,ALGODÔR,171,37.741,-7.791,230121.911,86104.23,171,GUADIANA,BEJA,MÉRTOLA,ALCARIA RUIVA,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11232,-,36936,-,NÃO,DESATIVADA,-
31H/02C,ALGOZ,85,37.139,-8.298,185336,19240,85,RIBEIRAS DO ALGARVE,FARO,ALBUFEIRA,GUIA,Autoridade Nacional da Água,CCDR-ALGARVE,Climatológica,Climatológica,29129,-,36923,-,NÃO,ATIVA,-
21B/06G,ALGÉS,5,38.699,-9.235,104165.594,192940.682,5,TEJO,LISBOA,OEIRAS,ALGÉS,-,CCDR-LVT,-,Udográfica,15554,19997,-,-,NÃO,EXTINTA,-
12F/04U,ALHASTROS (CARAPINHEIRA),40,40.02,-8.63,157581,339174,40,MONDEGO,COIMBRA,SOURE,SOURE,-,CCDR-CENTRO,-,Udométrica,33130,33877,-,-,NÃO,EXTINTA,-
30E/01UG,ALJEZUR,7,37.325,-8.802,140743,40142,7,RIBEIRAS DO ALGARVE,FARO,ALJEZUR,ALJEZUR,Autoridade Nacional da Água,CCDR-ALGARVE,Udográfica,Udométrica,11604,-,37075,-,NÃO,ATIVA,-
16D/01UG,ALJUBARROTA,141,39.561,-8.923,132114.507,288399.525,141,RIBEIRAS DO OESTE,LEIRIA,ALCOBAÇA,ALJUBARROTA (SÃO VICENTE),Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,13058,-,38211,-,NÃO,ATIVA,-
26I/03UG,ALJUSTREL,193,37.868,-8.167,197000.039,100108.983,193,SADO,BEJA,ALJUSTREL,ALJUSTREL,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11640,-,36929,-,NÃO,SUSPENSA,-
14K/01U,ALMACEDA,455,39.998773,-7.684721,238290.914,336793.625,455,TEJO,CASTELO BRANCO,CASTELO BRANCO,ALMACEDA,-,CCDR-CENTRO,-,Udométrica,14885,28033,-,-,NÃO,EXTINTA,-
11H/01UG,ALMAÇA,116,40.338,-8.225,192167.639,374423.92,116,MONDEGO,VISEU,MORTÁGUA,ALMAÇA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,21591,-,37161,-,SIM,ATIVA,-
09P/02UG,ALMEIDA,742,40.724,-6.906,303665.217,417990.719,742,DOURO,GUARDA,ALMEIDA,ALMEIDA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,12114,-,37173,-,NÃO,SUSPENSA,-
10O/02UG,ALMEIDINHA,871,40.594,-7.129,284961.619,403252.385,871,DOURO,GUARDA,GUARDA,JARMELO (SÃO PEDRO),Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,21819,-,37925,-,SIM,ATIVA,-
18F/01UG,ALMEIRIM,19,39.212,-8.618,158139,249438,19,TEJO,SANTARÉM,ALMEIRIM,ALMEIRIM,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,11963,-,37535,-,NÃO,ATIVA,-
07O/04U,ALMENDRA,424,40.999,-7.068,289611.662,448290.917,424,DOURO,GUARDA,VILA NOVA DE FOZ CÔA,ALMENDRA,-,CCDR-NORTE,-,Udométrica,13424,22554,-,-,NÃO,EXTINTA,-
28I/01UG,ALMODÔVAR,286,37.511712,-8.0656894,205953.4762,60592.1751,286,GUADIANA,BEJA,ALMODÔVAR,ALMODÔVAR,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11597,-,36929,-,NÃO,ATIVA,-
14G/03U,ALMOSTER,222,39.832092,-8.434727,174180.487,318234.478,222,TEJO,LEIRIA,ALVAIÁZERE,ALVAIÁZERE,-,CCDR-CENTRO,-,Udométrica,29495,30589,-,-,NÃO,EXTINTA,-
17L/03UG,ALPALHÃO,329,39.411,-7.613,244813.838,271595.608,329,TEJO,PORTALEGRE,NISA,ALPALHÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,29129,-,37000,-,NÃO,ATIVA,-
18L/01UG,ALTER DO CHÃO,224,39.218207,-7.684421,238748.05,250128.521,224,TEJO,PORTALEGRE,ALTER DO CHÃO,ALTER DO CHÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,4231,-,36943,-,NÃO,ATIVA,-
13K/05UG,ALTO DA FOZ DO GIRALDO,702,39.996,-7.716,235635.505,336472.245,702,TEJO,CASTELO BRANCO,OLEIROS,SARNADAS DE SÃO SIMÃO,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29190,-,37187,-,NÃO,ATIVA,-
03K/07UG,ALTURAS DO BARROSO,1068,41.700183,-7.823665,225760.782,525688.834,1068,DOURO,VILA REAL,BOTICAS,ALTURAS DO BARROSO,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,16711,-,38876,-,NÃO,ATIVA,-
15G/01UG,ALVAIÁZERE,335,39.827,-8.381,178815.914,317665.131,335,TEJO,LEIRIA,ALVAIÁZERE,ALVAIÁZERE,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,11628,-,37176,-,SIM,ATIVA,-
15G/04U,ALVIOBEIRA,265,39.702647,-8.353611,181088.733,303841.7,265,TEJO,SANTARÉM,FERREIRA DO ZÊZERE,AREIAS,-,CCDR-LVT,-,Udométrica,29129,31320,-,-,NÃO,EXTINTA,-
24J/02UG,ALVITO,205,38.255335,-7.989608,212558,143153,205,SADO,BEJA,ALVITO,ALVITO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,14806,-,37020,-,NÃO,SUSPENSA,-
17C/06G,ALVORNINHA,117,39.382,-9.036,122244.6,268615.912,117,RIBEIRAS DO OESTE,LEIRIA,CALDAS DA RAINHA,ALVORNINHA,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udográfica,29129,-,37167,-,NÃO,ATIVA,-
06I/01G,AMARANTE,146,41.264062,-8.069487,205333.665,477207.296,146,DOURO,PORTO,AMARANTE,CEPELOS,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udográfica,5661,-,38790,-,SIM,ATIVA,-
24N/01UG,AMARELEJA,204,38.210145,-7.229388,279148.044,138512.298,204,GUADIANA,BEJA,MOURA,AMARELEJA,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11567,-,36935,-,NÃO,ATIVA,-
24L/01C,AMIEIRA,195,38.279308,-7.560505,250100.167,145958.867,195,GUADIANA,ÉVORA,PORTEL,AMIEIRA,-,CCDR-ALENTEJO,-,Climatológica,18872,36922,-,-,NÃO,EXTINTA,-
16I/01U,AMÊNDOA,317,39.649,-8.085,204153.299,297836.42,317,TEJO,CASTELO BRANCO,VILA DE REI,VILA DE REI,-,EDP,-,Udométrica,18537,36495,-,-,NÃO,EXTINTA,-
14G/01C,ANSIÃO,217,39.91,-8.435,174209.676,326901.374,217,TEJO,LEIRIA,ANSIÃO,ANSIÃO,Autoridade Nacional da Água,CCDR-CENTRO,Climatológica,Climatológica,29129,-,37225,38616,NÃO,DESATIVADA,-
31J/03U,ARABIA,1,37.015,-7.951,216174.665,5537.453,1,RIBEIRAS DO ALGARVE,FARO,FARO,MONTENEGRO,-,CCDR-ALGARVE,-,Udométrica,29129,31320,-,-,NÃO,EXTINTA,-
05H/03UG,ARADA,196,41.381,-8.224,192427.809,490166.501,196,AVE,PORTO,FELGUEIRAS,POMBEIRO DE RIBAVIZELA,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,11597,-,38862,-,NÃO,ATIVA,-
13O/02UG,ARANHAS,489,40.109894,-7.118605,286495.285,349528.595,489,TEJO,CASTELO BRANCO,PENAMACOR,ARANHAS,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29495,-,37218,-,NÃO,ATIVA,-
07L/11U,ARCOS,778,41.049,-7.571,247248.845,453449.186,778,DOURO,VISEU,TABUAÇO,ARCOS,-,CCDR-NORTE,-,Udométrica,30225,37741,-,-,NÃO,EXTINTA,-
02E/03UG,ARGA DE BAIXO,478,41.846,-8.713,151808.921,542002.633,478,MINHO,VIANA DO CASTELO,CAMINHA,ARGA DE BAIXO,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,29495,-,37772,-,NÃO,ATIVA,-
12H/03U,ARGANIL,199,40.21,-8.052,206885.735,360203.499,199,MONDEGO,COIMBRA,ARGANIL,ARGANIL,-,CCDR-CENTRO,-,Udométrica,29129,35703,-,-,NÃO,EXTINTA,-
04R/01UG,ARGOZELO,685,41.638,-6.601,327693.243,519867.231,685,DOURO,BRAGANÇA,VIMIOSO,ARGOZELO,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,11689,-,37678,-,SIM,ATIVA,-
08L/04U,ARIZ,807,40.911,-7.653,240466.778,438137.826,807,DOURO,VISEU,MOIMENTA DA BEIRA,ARIZ,-,CCDR-NORTE,-,Udométrica,16212,31320,-,-,NÃO,EXTINTA,-
05J/03G,ARJUIZ,414,41.349,-7.894,219972.749,486642.382,414,DOURO,VILA REAL,MONDIM DE BASTO,ERMELO,-,CCDR-NORTE,-,Udográfica,22190,35034,-,-,NÃO,EXTINTA,-
19G/03C,ARNEIRO DA VOLTA,76,39.143,-8.496,168665.786,241737.303,76,TEJO,SANTARÉM,ALMEIRIM,RAPOSA,-,CCDR-LVT,-,Climatológica,29495,37529,-,-,NÃO,EXTINTA,-
08H/01UG,AROUCA,355,40.927,-8.24,190972.027,439728.563,355,DOURO,AVEIRO,AROUCA,AROUCA,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,12114,35277,42166,-,NÃO,ATIVA,-
21J/02UG,ARRAIOLOS,209,38.772,-8.001,211450,200508,209,TEJO,ÉVORA,ARRAIOLOS,ARRAIOLOS,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11628,-,37215,-,NÃO,ATIVA,-
20C/03G,ARRANHÓ,204,38.952,-9.137,112953,220951,204,TEJO,LISBOA,ARRUDA DOS VINHOS,ARRANHÓ,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udográfica,29129,-,38210,-,SIM,ATIVA,-
17D/03UG,ARRIMAL,322,39.492389,-8.876833,136021.365,280738.585,322,TEJO,LEIRIA,PORTO DE MÓS,ARRIMAL,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29129,-,37208,42898,NÃO,DESATIVADA,-
19N/01UG,ARRONCHES,257,39.118,-7.281,273709.171,239307.46,257,GUADIANA,PORTALEGRE,ARRONCHES,ASSUNÇÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11567,-,36943,-,NÃO,ATIVA,-
20C/02G,ARRUDA DOS VINHOS,93,38.989572,-9.076099,118297.441,225074.559,93,TEJO,LISBOA,ARRUDA DOS VINHOS,ARRUDA DOS VINHOS,-,CCDR-LVT,-,Udográfica,29129,30589,-,-,NÃO,EXTINTA,-
03D/02U,ASPRA,36,41.801,-8.841,141178.367,537052.81,36,ÂNCORA,VIANA DO CASTELO,CAMINHA,ÂNCORA,-,CCDR-NORTE,-,Udométrica,29129,37499,-,-,NÃO,EXTINTA,-
18D/01C,ASSEICEIRA,82,39.294,-8.931,131181.527,258754.549,82,TEJO,SANTARÉM,RIO MAIOR,ASSEICEIRA,Autoridade Nacional da Água,CCDR-LVT,Climatológica,Climatológica,29129,-,37224,-,NÃO,ATIVA,-
04S/01UG,AVELANOSO,713,41.655,-6.426,342213.387,522084.722,713,DOURO,BRAGANÇA,VIMIOSO,AVELANOSO,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,11689,-,37679,-,NÃO,ATIVA,-
02G/11UG,AVELEIRAS,200,41.832,-8.468,172173.795,540351.568,200,LIMA,VIANA DO CASTELO,ARCOS DE VALDEVEZ,TÁVORA (SANTA MARIA),Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,22190,-,38861,-,NÃO,ATIVA,-
19J/03UG,AVIS,151,39.058,-7.895,220599,232305,151,TEJO,PORTALEGRE,AVIS,AVIS,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,4019,-,36942,-,NÃO,ATIVA,-
21K/01UG,AZARUJA,270,38.702644,-7.774686,231177.098,192858.08,270,GUADIANA,ÉVORA,ÉVORA,SÃO BENTO DO MATO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11567,-,36900,-,SIM,ATIVA,-
20A/01U,AZENHAS DO MAR,88,38.832065,-9.451378,85529.031,207992.088,88,RIBEIRAS DO OESTE,LISBOA,SINTRA,COLARES,-,CCDR-LVT,-,Udométrica,17076,25111,-,-,NÃO,EXTINTA,-
30M/04U,AZINHAL,3,37.265408,-7.451312,260473.379,33485.684,3,GUADIANA,FARO,CASTRO MARIM,AZINHAL,-,CCDR-ALGARVE,-,Udométrica,29129,31320,-,-,NÃO,EXTINTA,-
25G/01UG,AZINHEIRA BARROS,56,38.0697028,-8.412872,175344.3,122748.65,56,SADO,SETÚBAL,SANTIAGO DO CACÉM,ERMIDAS-SADO,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,18331,-,36957,-,SIM,ATIVA,-
17E/03UG,AZÓIA DE CIMA,138,39.351,-8.744,147380.124,264929.205,138,TEJO,SANTARÉM,SANTARÉM,AZOIA DE CIMA,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,29129,-,37165,-,NÃO,ATIVA,-
