SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,
,,,,,,,,,,
REDE:,Piezometria,,,,,,,,,
,,,,,,,,,,
CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
273/36,AC 22,LEIRIA,LEIRIA,COIMBRÃO,LIS/RIBEIRAS COSTEIRAS,64,136660,328430,O10 - LEIROSA - MONTE REAL,
163/53,AC 24,AVEIRO,ESTARREJA,BEDUÍDO,VOUGA/RIBEIRAS COSTEIRAS,12,161360,421700,O1 - QUATERNÁRIO DE AVEIRO,
260/8,AC 32,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,25,135020,339560,O10 - LEIROSA - MONTE REAL,DESTRUÍDO
248B/8,AC 33,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,12,135100,341650,O10 - LEIROSA - MONTE REAL,
261/1,AC 35,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,35,136300,338400,O10 - LEIROSA - MONTE REAL,
260/16,AC 36,LEIRIA,POMBAL,CARRIÇO,RIBEIRAS DO OESTE,48,135900,333900,O10 - LEIROSA - MONTE REAL,ENTULHADO
261/22,AC 39,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,50,138100,334900,O10 - LEIROSA - MONTE REAL,
163/9,AC 4,AVEIRO,ESTARREJA,PARDILHÓ,VOUGA/RIBEIRAS COSTEIRAS,8.08,161200,425300,O1 - QUATERNÁRIO DE AVEIRO,
174/33,AC 4,AVEIRO,ESTARREJA,-,VOUGA/RIBEIRAS COSTEIRAS,1.49,161640,419200,O1 - QUATERNÁRIO DE AVEIRO,
261/17,AC 4,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,62,139500,335400,O10 - LEIROSA - MONTE REAL,
174/29,AC 40,AVEIRO,AVEIRO,CACIA,VOUGA/RIBEIRAS COSTEIRAS,3,161000,412170,O1 - QUATERNÁRIO DE AVEIRO,
185/23,AC 5,AVEIRO,ALBERGARIA-A-VELHA,-,VOUGA/RIBEIRAS COSTEIRAS,5,165900,406170,O1 - QUATERNÁRIO DE AVEIRO,
249/5,AC 5,COIMBRA,FIGUEIRA DA FOZ,MARINHA DAS ONDAS,LIS/RIBEIRAS COSTEIRAS,19,136800,343200,O10 - LEIROSA - MONTE REAL,
284/6,AC 5,LEIRIA,MARINHA GRANDE,MARINHA GRANDE,LIS/RIBEIRAS COSTEIRAS,100,132850,312310,O12 - VIEIRA DE LEIRIA - MARINHA GRANDE,
185/62,AC 6,AVEIRO,AVEIRO,SÃO BERNARDO,VOUGA/RIBEIRAS COSTEIRAS,40,158464,405889,O2 - CRETÁCICO DE AVEIRO,
261/11,AC 6,COIMBRA,FIGUEIRA DA FOZ,MARINHA DAS ONDAS,LIS/RIBEIRAS COSTEIRAS,31.35,137300,340000,O10 - LEIROSA - MONTE REAL,
185/31,AC 63,AVEIRO,AVEIRO,EIXO,VOUGA/RIBEIRAS COSTEIRAS,3,163840,408800,O1 - QUATERNÁRIO DE AVEIRO,
185/32,AC 64,AVEIRO,AVEIRO,-,VOUGA/RIBEIRAS COSTEIRAS,4,166460,404560,O1 - QUATERNÁRIO DE AVEIRO,
261/12,AC 7,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,31.32,136400,339700,O10 - LEIROSA - MONTE REAL,
261/3,AC 8,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,39.6,137400,337700,O10 - LEIROSA - MONTE REAL,
532/136,AC 8,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,200,246468,106234,A9 - GABROS DE BEJA,EM SERVIÇO
162A/5,AC C0 1,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,6,151860,424260,O2 - CRETÁCICO DE AVEIRO,
442/94,AC01,SETÚBAL,SEIXAL,FERNÃO FERRO,TEJO,17,115268.1,180677.1,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO
195/1,AC1,AVEIRO,VAGOS,GAFANHA DA BOA HORA,VOUGA/RIBEIRAS COSTEIRAS,15,149500,398300,O1 - QUATERNÁRIO DE AVEIRO,
249/1,AC1,COIMBRA,FIGUEIRA DA FOZ,LAVOS,LIS/RIBEIRAS COSTEIRAS,33,138840,344500,O10 - LEIROSA - MONTE REAL,
310/31,AC1,SANTARÉM,TORRES NOVAS,ASSENTIZ,TEJO,115,168880,293810,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM RESERVA
34/30,AC1,VILA REAL,CHAVES,FAIÕES,DOURO,350.7,256997,530743,A1 - VEIGA DE CHAVES,EM SERVIÇO
341/17,AC1,SANTARÉM,GOLEGÃ,AZINHAGA,TEJO,23,165540,265050,T7 - ALUVIÕES DO TEJO,EM RESERVA
342/97,AC1,SANTARÉM,CHAMUSCA,CHAMUSCA,TEJO,18,170240,266560,T7 - ALUVIÕES DO TEJO,
347/89,AC1,PORTALEGRE,MARVÃO,SÃO SALVADOR DA ARAMENHA,TEJO,528,263150,268996,A2 - ESCUSA,
350/1,AC1,LEIRIA,BOMBARRAL,CARVALHAL,RIBEIRAS DO OESTE,40,113889,257686.3,O0 - ORLA OCIDENTAL INDIFERENCIADO,
374/11,AC1,LISBOA,TORRES VEDRAS,TORRES VEDRAS (SÃO PEDRO E SÃO TIAGO),RIBEIRAS DO OESTE,30,100850,237890,O25 - TORRES VEDRAS,
377/86,AC1,SANTARÉM,CARTAXO,VALADA,TEJO,6,144320,234440,T7 - ALUVIÕES DO TEJO,EM RESERVA
391/243,AC1,SANTARÉM,BENAVENTE,BARROSA,TEJO,10,145560,221380,T7 - ALUVIÕES DO TEJO,ENTULHADO
404/53,AC1,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,5,134950,210460,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
407/35,AC1,SANTARÉM,CORUCHE,CORUCHE,TEJO,54,168250,213470,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
432/77,AC1,SETÚBAL,MONTIJO,ATALAIA,TEJO,52,131190,193570,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
428/36,AC1 - Monte da Vinha,PORTALEGRE,ELVAS,"AJUDA, SALVADOR E SANTO ILDEFONSO",GUADIANA,157,290984,207675,A11 - ELVAS - CAMPO MAIOR,
329/6,AC10,SANTARÉM,GOLEGÃ,GOLEGÃ,TEJO,15,166700,271040,T7 - ALUVIÕES DO TEJO,
249/2,AC2,COIMBRA,FIGUEIRA DA FOZ,LAVOS,LIS/RIBEIRAS COSTEIRAS,25,138500,347550,O10 - LEIROSA - MONTE REAL,
330/183,AC2,SANTARÉM,GOLEGÃ,GOLEGÃ,TEJO,21,170980,270910,T7 - ALUVIÕES DO TEJO,
331/2,AC2,SANTARÉM,ABRANTES,RIO DE MOINHOS,TEJO,27,188592,279051,T7 - ALUVIÕES DO TEJO,EM RESERVA
331/26,AC2,SANTARÉM,ABRANTES,SÃO MIGUEL DO RIO TORTO,TEJO,68,196316,271573,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM RESERVA
331/28,AC2,SANTARÉM,ABRANTES,PEGO,TEJO,32,197191,276338,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM RESERVA
335/56,AC2,PORTALEGRE,CASTELO DE VIDE,SANTA MARIA DA DEVESA,TEJO,538,260109,271503,A2 - ESCUSA,
340/24,AC2,SANTARÉM,SANTARÉM,AZOIA DE CIMA,TEJO,70,147110,265820,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
393/113,AC2,SANTARÉM,CORUCHE,CORUCHE,TEJO,22,169630,221850,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
406/27,AC2,SANTARÉM,BENAVENTE,BENAVENTE,TEJO,60,153550,216200,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
420/24,AC2,SANTARÉM,CORUCHE,SANTANA DO MATO,TEJO,115,167170,208680,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
401/36,AC2 - Roças de Baixo,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA EXPECTAÇÃO,GUADIANA,205,298124,223968,A11 - ELVAS - CAMPO MAIOR,
260/3,AC22,LEIRIA,POMBAL,GUIA,LIS/RIBEIRAS COSTEIRAS,18,132570,333070,O10 - LEIROSA - MONTE REAL,
248B/2,AC26,LEIRIA,POMBAL,CARRIÇO,MONDEGO,20,135697,340758,O10 - LEIROSA - MONTE REAL,
260/4,AC27,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,25,134700,339040,O10 - LEIROSA - MONTE REAL,
260/5,AC28,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,28,134050,337470,O10 - LEIROSA - MONTE REAL,
260/6,AC29,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,19.03,133640,335960,O10 - LEIROSA - MONTE REAL,
163/1,AC3,AVEIRO,MURTOSA,TORREIRA,VOUGA/RIBEIRAS COSTEIRAS,4.29,153190,425500,O1 - QUATERNÁRIO DE AVEIRO,
249/3,AC3,COIMBRA,FIGUEIRA DA FOZ,LAVOS,LIS/RIBEIRAS COSTEIRAS,24,138400,346340,O10 - LEIROSA - MONTE REAL,
316/118,AC3,LEIRIA,ALCOBAÇA,SÃO MARTINHO DO PORTO,RIBEIRAS DO OESTE,15,116260,283370,O33 - CALDAS DA RAINHA - NAZARÉ,
249/4,AC4,COIMBRA,FIGUEIRA DA FOZ,LAVOS,LIS/RIBEIRAS COSTEIRAS,25,137520,344980,O10 - LEIROSA - MONTE REAL,
365/233,AC5,SANTARÉM,ALMEIRIM,FAZENDAS DE ALMEIRIM,TEJO,75,161614,244939,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
261/24,AC6,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,51.67,139040,334890,O10 - LEIROSA - MONTE REAL,EM SERVIÇO
365/428,AC6,SANTARÉM,ALMEIRIM,ALMEIRIM,TEJO,20,158510,249470,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
261/26,AC7,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,52.35,138190,333680,O10 - LEIROSA - MONTE REAL,
34/N2,AC75,VILA REAL,CHAVES,FAIÕES,DOURO,352,257342,531469,A1 - VEIGA DE CHAVES,
162A/8,ACCO 1 C,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,9,151859,424260,O1 - QUATERNÁRIO DE AVEIRO,ENTULHADO
162A/7,ACCO 1B,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,7,151861,424260,O2 - CRETÁCICO DE AVEIRO,ENTULHADO
163/5,ACCP 3,AVEIRO,MURTOSA,TORREIRA,VOUGA/RIBEIRAS COSTEIRAS,1.61,154620,424590,O2 - CRETÁCICO DE AVEIRO,
174/2,ACCP 4,AVEIRO,MURTOSA,MURTOSA,VOUGA/RIBEIRAS COSTEIRAS,2.02,154850,419440,O2 - CRETÁCICO DE AVEIRO,
163/6,ACCP 5,AVEIRO,MURTOSA,MURTOSA,VOUGA/RIBEIRAS COSTEIRAS,2.96,154860,420190,O2 - CRETÁCICO DE AVEIRO,
404/61,ACME 13,LISBOA,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,TEJO,3,133940,217820,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
404/62,ACMO 15,LISBOA,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,TEJO,2,133890,217840,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
34/31,ACP1,VILA REAL,CHAVES,FAIÕES,DOURO,355,257551,532067,A1 - VEIGA DE CHAVES,EM SERVIÇO
376/51,ACP1,LISBOA,ALENQUER,OTA,TEJO,32,125482,238537,O26 - OTA - ALENQUER,
34/32,ACP2,VILA REAL,CHAVES,FAIÕES,DOURO,352,257078,531049,A1 - VEIGA DE CHAVES,
163/31,ACP6,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,13.52,161500,422160,O1 - QUATERNÁRIO DE AVEIRO,
118/N1,AD4,BRAGANÇA,TORRE DE MONCORVO,ADEGANHA,DOURO,124,286908,473920,A0 - MACIÇO ANTIGO INDIFERENCIADO,
114/N1,AD5,VILA REAL,VILA REAL,CAMPEÃ,DOURO,702,223188,479509,A0 - MACIÇO ANTIGO INDIFERENCIADO,
41/N1,AD8,VIANA DO CASTELO,PONTE DE LIMA,FORNELOS,LIMA/NEIVA,160,167211,528865,A0 - MACIÇO ANTIGO INDIFERENCIADO,
113/N1,AD9,PORTO,AMARANTE,SALVADOR DO MONTE,DOURO,285,203095,473597,A0 - MACIÇO ANTIGO INDIFERENCIADO,
505/67,ADSA1,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,7,143021,122797,O32 - SINES,
148/N1,AF01,VISEU,MOIMENTA DA BEIRA,ALVITE,DOURO,991,237782,442072,A0 - MACIÇO ANTIGO INDIFERENCIADO,
34/N1,AF11,VILA REAL,CHAVES,SANTO ANTÓNIO DE MONFORTE,DOURO,537,263992,536191,A0 - MACIÇO ANTIGO INDIFERENCIADO,
74/N1,AF17,VILA REAL,VILA POUCA DE AGUIAR,GOUVÃES DA SERRA,DOURO,868,235233,501889,A0 - MACIÇO ANTIGO INDIFERENCIADO,
56/N1,AF19,BRAGA,BRAGA,CRESPOS,CÁVADO/RIBEIRAS COSTEIRAS,15,181542,516192,A0 - MACIÇO ANTIGO INDIFERENCIADO,
69/N1,AF20,BRAGA,BARCELOS,MIDÕES,CÁVADO/RIBEIRAS COSTEIRAS,86,162493,503742,A0 - MACIÇO ANTIGO INDIFERENCIADO,
137/N1,AF31,VISEU,TAROUCA,TAROUCA,DOURO,507,228818,451870,A0 - MACIÇO ANTIGO INDIFERENCIADO,
261/120,AH 15,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,66.01,141300,334420,O10 - LEIROSA - MONTE REAL,ENTULHADO
261/117,AH 50,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,83,142130,334310,O10 - LEIROSA - MONTE REAL,
153/24,AH 7,AVEIRO,OVAR,ARADA,VOUGA/RIBEIRAS COSTEIRAS,15.44,156100,436350,O1 - QUATERNÁRIO DE AVEIRO,
261/119,AH 7,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,83,142130,334311,O10 - LEIROSA - MONTE REAL,
261/121,AH 94,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,66.01,141300,334421,O10 - LEIROSA - MONTE REAL,
426/434,AIZM1-CARRASCAL,ÉVORA,BORBA,BORBA (MATRIZ),TEJO,392,248566,208041,A4 - ESTREMOZ - CANO,
426/433,AIZM2-GLÓRIA,ÉVORA,ESTREMOZ,GLÓRIA,TEJO,451,250762,206662,A4 - ESTREMOZ - CANO,
606/1657,AM1,FARO,FARO,-,RIBEIRAS DO ALGARVE,51.55,213910,13863,M9 - ALMANSIL - MEDRONHAL,EM SERVIÇO
229/285,AMIEIRO,COIMBRA,MONTEMOR-O-VELHO,ARAZEDE,MONDEGO,85,154591.81,365497.12,O30 - VISO - QUERIDAS,
593/193,AO1,FARO,LAGOS,-,RIBEIRAS DO ALGARVE,36.15,149257.1,20569.5,M2 - ALMÁDENA - ODEÁXERE,EM SERVIÇO
466/20,AR 2 - FURO 2,SETÚBAL,SETÚBAL,SADO,SADO,6,142320,168050,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
605/529,ARQ1,FARO,ALBUFEIRA,GUIA,RIBEIRAS DO ALGARVE,94.01,186978.4,19849.8,M6 - ALBUFEIRA - RIBEIRA DE QUARTEIRA,EM SERVIÇO
605/527,ARQ2,FARO,ALBUFEIRA,OLHOS DE ÁGUA,RIBEIRAS DO ALGARVE,66.86,190316.9,14544.5,M6 - ALBUFEIRA - RIBEIRA DE QUARTEIRA,EM SERVIÇO
605/528,ARQ3,FARO,ALBUFEIRA,-,RIBEIRAS DO ALGARVE,64.69,193901.3,15785.9,M6 - ALBUFEIRA - RIBEIRA DE QUARTEIRA,EM SERVIÇO
384/103,AZINHAL,PORTALEGRE,MONFORTE,VAIAMONTE,TEJO,312.5,253585,237765,A3 - MONFORTE - ALTER DO CHÃO,
505/171,AdSA04-Várzea,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,6.59,143222.78,123096.27,O32 - SINES,
505/172,AdSA06-Moinho Novo,SETÚBAL,SANTIAGO DO CACÉM,SANTO ANDRÉ,RIBEIRAS DO ALENTEJO,4.62,142892.61,123345.19,O32 - SINES,
