SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Qualidade

CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
30E/02,ALJEZUR,RIBEIRAS DO ALGARVE,5,-,-,37.319839,-8.814953,ARH-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,-,-,01-01-2018,-,DQA,ATIVA,
30E/50,ALJEZUR NORTE,RIBEIRAS DO ALGARVE,15,141761,39772,37.32218,-8.79014,ARH-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DO AREEIRO,-,-,21-04-2009,-,DQA_ECOL_OPER,ATIVA,
30E/55,ALJEZUR SUL,RIBEIRAS DO ALGARVE,25,141181,36828,37.29563,-8.79645,ARH-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DAS ALFAMBRAS,-,-,21-04-2009,-,DQA_ECOL_VIG,ATIVA,
31F/02F,ARADE - FORTE SÃO JOÃO (F),RIBEIRAS DO ALGARVE,0,-,-,37.1192,-8.52423,INAG/IPIMAR,FARO,LAGOA,FERRAGUDO,RIO ARADE,-,-,09-03-2010,-,EEMA,ATIVA,
31F/02S,ARADE - FORTE SÃO JOÃO (S),RIBEIRAS DO ALGARVE,0,-,-,37.1192,-8.52423,INAG/IPIMAR,FARO,LAGOA,FERRAGUDO,RIO ARADE,-,-,09-03-2010,-,EEMA,ATIVA,
30G/53,ARADE - JUSANTE,RIBEIRAS DO ALGARVE,23,178247,28710,37.224084,-8.378201,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,-,-,01-01-2016,-,DQA_ECOL_VIG,ATIVA,
31F/01F,ARADE - MEXILHOEIRA CARREGAÇÃO (F),RIBEIRAS DO ALGARVE,0,-,-,37.14425,-8.51528,INAG/IPIMAR,FARO,LAGOA,PARCHAL,RIO ARADE,-,-,09-03-2010,-,EEMA,ATIVA,
30G/01,ARADE - SILVES,RIBEIRAS DO ALGARVE,7,-,-,37.18635,-8.43978,INAG/IPIMAR,FARO,LAGOA,PARCHAL,RIO ARADE,-,-,09-03-2010,-,EEMA,ATIVA,
30G/12,ARADE_est 1,RIBEIRAS DO ALGARVE,11,-,-,37.19432,-8.40579,INAG/IPIMAR,FARO,SILVES,SILVES,RIO ARADE,-,-,01-01-2011,-,EEMA,ATIVA,
29H/50,AZILHEIRA,RIBEIRAS DO ALGARVE,161,189039,46839,37.38762,-8.25686,ARH-ALGARVE,FARO,SILVES,SÃO MARCOS DA SERRA,RIBEIRA DE ODELOUCA,-,-,27-04-2009,-,DQA_ECOL_VIG,ATIVA,
31J/50,BELA MANDIL,RIBEIRAS DO ALGARVE,9,23584.94,-292363.45,37.034133,-7.868026,ARH-ALGARVE,FARO,OLHÃO,PECHÃO,RIBEIRA DE BELA MONDIL OU PECHAO,-,-,04-02-2010,-,DQA_ECOL_OPER,ATIVA,
31E/01,BENSAFRIM,RIBEIRAS DO ALGARVE,17,-52291.89,-278823.21,37.154974,-8.721775,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRA DE BENSAFRIM,22.39,8.77,11-12-1995,-,IMPACTO / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
31E/51,BENSAFRIM - JUSANTE,RIBEIRAS DO ALGARVE,3,-48289,-282720,37.120078,-8.676464,ARH-ALGARVE,FARO,LAGOS,LAGOS (SÃO SEBASTIÃO),RIBEIRA DE BENSAFRIM,-,-,28-05-2013,-,DQA_QUIM_OPER,ATIVA,
31K/03,BODEGA,RIBEIRAS DO ALGARVE,20,238589,21872,37.16193,-7.69864,ARH-ALGARVE,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRA DE ALPORTEL,133.64,11.78,25-10-1989,-,IMPACTO / DQA_QUIM_VIG,ATIVA,
30E/56,BRAVURA - JUSANTE,RIBEIRAS DO ALGARVE,34,-49698.68,-275336.83,37.186528,-8.692815,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,-,-,18-02-2013,-,DQA_ECOL_OPER,ATIVA,
30F/51,CANAFECHAL,RIBEIRAS DO ALGARVE,15,154266,23471,37.17602,-8.64806,ARH-ALGARVE,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRO DO ARAO,-,-,13-04-2009,-,DQA_ECOL_OPER,ATIVA,
30G/14,CANAL ARADE,RIBEIRAS DO ALGARVE,38,-,-,37.21536,-8.395998,ARH-ALGARVE,-,-,-,RIO ARADE,-,-,27-11-2019,-,DQA_ECOL_VIG,ATIVA,
31F/10,CANAL DAS FONTAINHAS,RIBEIRAS DO ALGARVE,8,-,-,37.153926,-8.62374,ARH-ALGARVE,-,-,-,,-,-,25-02-2019,-,DQA_ECOL_VIG,ATIVA,
29E/03,CANAL REGA MIRA,RIBEIRAS DO ALGARVE,89,-,-,37.427146,-8.778677,ARH-ALGARVE,-,-,-,,-,-,27-02-2019,-,DQA_ECOL_VIG,ATIVA,
30K/51,CARCAVAIA,RIBEIRAS DO ALGARVE,78,37209.67,-274497.22,37.194958,-7.716169,ARH-ALGARVE,FARO,TAVIRA,TAVIRA (SANTA MARIA),RIBEIRA DE ALPORTEL,-,-,15-04-2009,-,DQA_ECOL_VIG,ATIVA,
30D/50,CARRAPATEIRA,RIBEIRAS DO ALGARVE,25,132950,24676,37.16823,-8.850969,ARH-ALGARVE,FARO,ALJEZUR,BORDEIRA,RIBEIRA DA CARRAPATEIRA OU DO PARAISO OU DO BARRANCO DA CATARINA DIAS OU DO BARRANCO DO CORTE PERA JAQUES,-,-,13-04-2009,-,DQA_ECOL_VIG,ATIVA,
29G/54,CARVALHO,RIBEIRAS DO ALGARVE,115,172729,43321,37.355582,-8.440918,ARH-ALGARVE,FARO,MONCHIQUE,ALFERCE,RIBEIRO DO CARVALHO,-,-,01-01-2016,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
30E/01,CERCA POMARES,RIBEIRAS DO ALGARVE,57,145351,40265,37.32684,-8.74968,CCDR-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,37.54,14.69,18-10-1994,07-10-1997,IMPACTO,EXTINTA,
31L/50,CERRO ALMARGEM,RIBEIRAS DO ALGARVE,8,45579.21,-277918.39,37.163478,-7.619951,ARH-ALGARVE,-,-,-,RIBEIRA DE ALMARGEM,-,-,14-04-2009,-,DQA_ECOL_OPER,ATIVA,
31J/01,COIRO BURRA,RIBEIRAS DO ALGARVE,71,20429.98,-285074.63,37.099884,-7.903287,CCDR-ALGARVE,FARO,FARO,ESTOI,RIO SECO,36.79,26.38,13-11-2001,-,IMPACTO / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
30E/08,CORCINO (ALB. ODIAXERE-BRAVURA),RIBEIRAS DO ALGARVE,92,147787,30222,37.23649,-8.72149,CCDR-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRA DA VAGAROSA,13.18,20.71,13-12-1994,04-12-1997,IMPACTO,EXTINTA,
30E/10,CORTADOIRO,RIBEIRAS DO ALGARVE,181,152425,34906,37.27894,-8.66952,CCDR-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRO DE ODEÁXERE,6.25,26.68,20-04-1995,04-12-1997,Fluxo,EXTINTA,
29G/55,CORTE MOURÃO,RIBEIRAS DO ALGARVE,111,180905,43437,37.35683,-8.348633,ARH-ALGARVE,FARO,SILVES,SÃO MARCOS DA SERRA,RIBEIRO DA PERNA SECA,-,-,01-01-2016,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
30L/02,CURRAL BOIEIROS,RIBEIRAS DO ALGARVE,24,244889,24195,37.180852,-7.624049,ARH-ALGARVE,FARO,TAVIRA,TAVIRA (SANTA MARIA),RIBEIRA DE ALMARGEM,43.39,10.03,14-12-1994,-,REFERÊNCIA / BASE / DQA_QUIM_VIG,ATIVA,
30D/51S,CW - ARRIFANA (S),RIBEIRAS DO ALGARVE,0,-,-,37.294084,-8.870044,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31K/56F,CW - RIA FORMOSA - BARRA DA ARMONA (F),RIBEIRAS DO ALGARVE,0,-,-,37.00644,-7.793114,ARH-ALGARVE,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31K/56S,CW - RIA FORMOSA - BARRA DA ARMONA (S),RIBEIRAS DO ALGARVE,0,-,-,37.00644,-7.793114,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
32J/24S,CW - RIA FORMOSA - BARRA DO FAROL (S),RIBEIRAS DO ALGARVE,0,-,-,36.960116,-7.869657,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31D/02S,CW - SAGRES (S),RIBEIRAS DO ALGARVE,0,-,-,37.012127,-8.918644,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31I/53S,CW - VILAMOURA (S),RIBEIRAS DO ALGARVE,0,-,-,37.067468,-8.135981,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31F/53F,CWL - RIA ALVOR - MARGEM DIREITA - ESPARGUEIRA (F),RIBEIRAS DO ALGARVE,0,-,-,37.140526,-8.622006,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31F/53S,CWL - RIA ALVOR - MARGEM DIREITA - ESPARGUEIRA (S),RIBEIRAS DO ALGARVE,0,-,-,37.140526,-8.622006,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31F/54S,CWL - RIA ALVOR - MARGEM ESQ - TAPADA VELHA (S),RIBEIRAS DO ALGARVE,0,-,-,37.134217,-8.596009,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31K/55F,CWL - RIA FORMOSA - CANAL DA FUSETA (F),RIBEIRAS DO ALGARVE,0,-,-,37.035096,-7.773603,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31K/55S,CWL - RIA FORMOSA - CANAL DA FUSETA (S),RIBEIRAS DO ALGARVE,0,-,-,37.035096,-7.773603,-,-,-,-,,-,-,01-01-2017,-,DQA,ATIVA,
32J/25F,CWL - RIA FORMOSA - CANAL DE FARO (F),RIBEIRAS DO ALGARVE,0,-,-,36.99022,-7.897319,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
32J/25S,CWL - RIA FORMOSA - CANAL DE FARO (S),RIBEIRAS DO ALGARVE,0,-,-,36.99022,-7.897319,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31K/54F,CWL - RIA FORMOSA - CULATRA (F),RIBEIRAS DO ALGARVE,0,-,-,37.003127,-7.830272,ARH-ALGARVE,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31K/54S,CWL - RIA FORMOSA - CULATRA (S),RIBEIRAS DO ALGARVE,0,-,-,37.003127,-7.830272,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31K/53F,CWL - RIA FORMOSA - MOINHO DE MARIM (F),RIBEIRAS DO ALGARVE,0,-,-,37.028066,-7.817081,ARH-ALGARVE,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31K/53S,CWL - RIA FORMOSA - MOINHO DE MARIM (S),RIBEIRAS DO ALGARVE,0,-,-,37.028066,-7.817081,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
31J/52F,CWL - RIA FORMOSA - PRAIA DE FARO B (F),RIBEIRAS DO ALGARVE,0,-,-,37.003156,-7.977617,-,-,-,-,,-,-,01-01-2019,-,DQA,ATIVA,
31J/52S,CWL - RIA FORMOSA - PRAIA DE FARO B (S),RIBEIRAS DO ALGARVE,0,-,-,37.003156,-7.977617,-,-,-,-,,-,-,01-01-2017,-,-,ATIVA,
30E/12,ENXAMEADOR,RIBEIRAS DO ALGARVE,209,152366,35651,37.28565,-8.67023,CCDR-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRO DE ODEÁXERE,5.75,27.43,20-04-1995,07-08-1998,IMPACTO,EXTINTA,
30G/52,ENXERIM,RIBEIRAS DO ALGARVE,22,173115,26854,37.207229,-8.435967,ARH-ALGARVE,FARO,SILVES,SILVES,,-,-,01-01-2016,-,DQA_ECOL_VIG,ATIVA,
30I/52,FONTE BENÉMOLA,RIBEIRAS DO ALGARVE,147,211075,26901,37.20798,-8.00832,ARH-ALGARVE,FARO,LOULÉ,QUERENÇA,RIBEIRA DOS MOINHOS OU DA FONTE MENAVEL,-,-,20-04-2009,-,DQA_ECOL_VIG,ATIVA,
31E/50,FORTE DE ALMÁDENA,RIBEIRAS DO ALGARVE,6,-59850.57,-287870.9,37.091555,-8.779948,ARH-ALGARVE,FARO,VILA DO BISPO,BUDENS,RIBEIRA DE VALE BARAO OU RIBEIRO DE LAGOS,-,-,23-04-2014,-,DQA_ECOL_VIG,ATIVA,
29F/01,FOZ DO CARVALHOSO,RIBEIRAS DO ALGARVE,141,-,-,37.391699,-8.617112,ARH-ALGARVE,FARO,MONCHIQUE,MONCHIQUE,RIBEIRA DA PERNA,-,-,01-01-2018,-,DQA,ATIVA,
30H/04,FOZ RIBEIRO,RIBEIRAS DO ALGARVE,132,-9578.89,-262126.63,37.3069,-8.239891,ARH-ALGARVE,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIO ARADE,82,48.69,09-10-2001,-,IMPACTO / PISC-CIP-78-659 / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
31K/52,FUNDO,RIBEIRAS DO ALGARVE,32,36064.67,-285230.39,37.098009,-7.72742,ARH-ALGARVE,FARO,TAVIRA,LUZ,RIBEIRA DOS MOSQUEIROS,-,-,06-02-2013,-,DQA_ECOL_OPER,ATIVA,
29E/01,FURADOIRO - ODECEIXE,RIBEIRAS DO ALGARVE,13,145310,51468,37.42204,-8.74726,ARH-ALGARVE,BEJA,ODEMIRA,SÃO TEOTÓNIO,RIBEIRA DE SEIXE,187.56,6.43,18-10-1994,-,IMPACTO / DQA_QUIM_VIG,ATIVA,
29F/02,LAMEIRO,RIBEIRAS DO ALGARVE,76,-,-,37.40046,-8.66041,ARH-ALGARVE,BEJA,ODEMIRA,SÃO TEOTÓNIO,RIBEIRO DO LAMEIRO,-,-,01-01-2017,-,DQA,ATIVA,
31G/50,LAVADOURO,RIBEIRAS DO ALGARVE,9,181310.17,18284.13,37.130207,-8.343432,ARH-ALGARVE,FARO,SILVES,ALCANTARILHA,RIBEIRA DE ALCANTARILHA OU BARRANCO DO RIBEIRO MEIRINHO,-,-,01-01-2015,-,DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
30F/54,LEAIS,RIBEIRAS DO ALGARVE,8,-42471.19,-276294.33,37.178257,-8.611367,ARH-ALGARVE,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRO DO FARELO,-,-,26-02-2013,-,DQA_ECOL_OPER,ATIVA,
31J/51,MARCHIL,RIBEIRAS DO ALGARVE,3,216642,7702,37.034886,-7.946056,ARH-ALGARVE,FARO,FARO,FARO (SÃO PEDRO),RIBEIRA DE BIOGAL,-,-,01-01-2016,-,DQA_ECOL_VIG,ATIVA,
31F/50,ODEÁXERE,RIBEIRAS DO ALGARVE,7,152201,21310,37.15643,-8.67116,ARH-ALGARVE,FARO,LAGOS,ODIÁXERE,RIBEIRO DE ODEÁXERE,-,-,03-03-2010,-,DQA_QUIM_VIG,ATIVA,
30E/06,ODEÁXERE - GORDEIRO,RIBEIRAS DO ALGARVE,91,-48561.17,-270404.52,37.231028,-8.680326,ARH-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRO DE ODEÁXERE,18.87,20.43,13-12-1994,-,FLUXO / DQA_QUIM_OPER / DQA_ECOL_OPER,ATIVA,
30E/54,PASSIL,RIBEIRAS DO ALGARVE,228,152127,39569,37.32095,-8.67318,ARH-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,-,-,21-04-2009,-,DQA_ECOL_VIG,ATIVA,
30F/53,PEGANHEIRA,RIBEIRAS DO ALGARVE,7,-45436.79,-277195.12,37.170001,-8.644706,ARH-ALGARVE,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRO DO ARAO,-,-,29-04-2013,-,DQA_ECOL_OPER,ATIVA,
31K/50,PONTE ASSECA,RIBEIRAS DO ALGARVE,67,235742,20091,37.146,-7.73078,ARH-ALGARVE,FARO,TAVIRA,SANTO ESTÊVÃO,RIO GILAO OU SEQUA OU RIBEIRA DA ASSECA OU DA LAGOA OU DO ALCOIO OU DO BENGADO,-,-,15-04-2009,-,DQA_ECOL_VIG,ATIVA,
30G/08,PONTE MESQUITA,RIBEIRAS DO ALGARVE,29,-17862.38,-277098,37.17181,-8.334236,ARH-ALGARVE,FARO,SILVES,PÊRA,RIBEIRA DE ALCANTARILHA OU BARRANCO DO RIBEIRO MEIRINHO,112.79,12.28,24-10-1989,-,IMPACTO / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
30E/04,PONTE PEREIRO,RIBEIRAS DO ALGARVE,24,142344,38511,37.31086,-8.78346,ARH-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,50.59,10.49,17-11-1997,-,IMPACTO / DQA_QUIM_VIG,ATIVA,
30J/50,PONTE QUERENÇA,RIBEIRAS DO ALGARVE,158,212875,24870,37.18966,-7.98808,ARH-ALGARVE,FARO,LOULÉ,QUERENÇA,RIBEIRA DE ALGIBRE OU DAS MERCÊS,-,-,20-04-2009,-,DQA_ECOL_OPER,ATIVA,
31H/02,PONTE RODOVIÁRIA,RIBEIRAS DO ALGARVE,22,-3612.62,-282437.66,37.12386,-8.17376,ARH-ALGARVE,FARO,LOULÉ,BOLIQUEIME,RIBEIRA DA QUARTEIRA OU DE ALTE,324.58,8.94,26-10-1989,-,IMPACTO / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
30F/01,PONTE TORRE,RIBEIRAS DO ALGARVE,5,-,-,37.1757,-8.5789,ARH-ALGARVE,FARO,PORTIMÃO,PORTIMÃO,RIBEIRA DA TORRE OU RIBEIRO DA SENHORA DO VERDE,-,-,01-01-2017,-,DQA,ATIVA,
30I/53,QUINTA OMBRIA,RIBEIRAS DO ALGARVE,131,211017,25060,37.19139,-8.00901,ARH-ALGARVE,FARO,LOULÉ,QUERENÇA,RIBEIRA DE ALGIBRE OU DAS MERCÊS,-,-,20-04-2009,-,DQA_ECOL_OPER,ATIVA,
30E/11,REFÓIAS,RIBEIRAS DO ALGARVE,209,152392,35267,37.28219,-8.66992,CCDR-ALGARVE,FARO,MONCHIQUE,MARMELETE,RIBEIRO DE ODEÁXERE,5.97,27,20-04-1995,04-12-1997,IMPACTO,EXTINTA,
29E/04,REGA - BREJÃO,RIBEIRAS DO ALGARVE,90,-,-,37.475621,-8.766053,-,-,-,-,,-,-,-,-,-,-,
27E/07,REGA - MILFONTES,RIBEIRAS DO ALGARVE,62,-,-,37.707751,-8.766701,-,-,-,-,,-,-,-,-,-,-,
28E/07,REGA - MIRA 2,RIBEIRAS DO ALGARVE,91,-,-,37.521814,-8.74845,ARH-ALENTEJO,BEJA,ODEMIRA,SÃO TEOTÓNIO,,-,-,-,-,-,-,
29E/53,REGUENGO,RIBEIRAS DO ALGARVE,48,150308,48137,37.39805,-8.69429,ARH-ALGARVE,FARO,ALJEZUR,ODECEIXE,RIBEIRA DE SEIXE,-,-,21-04-2009,-,DQA_ECOL_VIG,ATIVA,
31F/05,RIA ALVOR - A,RIBEIRAS DO ALGARVE,0,-,-,37.12778,-8.61861,INAG/IPIMAR,FARO,PORTIMÃO,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31F/08,RIA ALVOR - ALVOR,RIBEIRAS DO ALGARVE,0,-,-,37.12778,-8.5975,INAG/IPIMAR,FARO,PORTIMÃO,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31F/07,RIA ALVOR - MONTANTE ALVOR,RIBEIRAS DO ALGARVE,0,-,-,37.13306,-8.59611,INAG/IPIMAR,FARO,PORTIMÃO,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31F/06,RIA ALVOR - QUATRO ÁGUAS,RIBEIRAS DO ALGARVE,0,-,-,37.12556,-8.62083,INAG/IPIMAR,FARO,-,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31F/03,RIA ALVOR - QUINTA ROCHA,RIBEIRAS DO ALGARVE,0,-,-,37.13028,-8.60167,INAG/IPIMAR,FARO,PORTIMÃO,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31F/04,RIA ALVOR - ROCHA,RIBEIRAS DO ALGARVE,0,-,-,37.12972,-8.60861,INAG/IPIMAR,FARO,PORTIMÃO,-,RIO ALVOR,-,-,31-03-2009,-,EEMA,ATIVA,
31J/20,RIA FORMOSA - BÓIA 12 - CANAL OLHÃO,RIA FORMOSA,0,225730,5864,37.01814,-7.84396,INAG/IH,FARO,OLHÃO,OLHÃO,RIA FORMOSA,24.11,6.36,27-02-2002,-,SP,REATIVADA,
32J/23,RIA FORMOSA - BÓIA 14 - CANAL FARO,RIA FORMOSA,0,219638,3518,36.99715,-7.91247,INAG/IH,FARO,FARO,FARO (SÉ),RIA FORMOSA,151.56,12.11,27-02-2002,25-09-2004,SP,EXTINTA,
31J/26,RIA FORMOSA - BÓIA 21 - CANAL FARO,RIA FORMOSA,0,219188,4102,37.00242,-7.91752,INAG/IH,FARO,FARO,FARO (SÉ),RIA FORMOSA,141.51,15.1,27-02-2002,25-09-2004,SP,EXTINTA,
31J/02,RIA FORMOSA - FARO,RIA FORMOSA,0,216028,6770,37.00194,-7.92199,INAG/IA,FARO,FARO,FARO (SÃO PEDRO),RIA FORMOSA,51.92,20.49,28-04-1999,-,SP,ATIVA,
32J/01F,RIA FORMOSA - FARO C (F),RIA FORMOSA,0,-,-,37.00135,-7.91913,INAG/IPIMAR,FARO,FARO,FARO (SÉ),RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
32J/01S,RIA FORMOSA - FARO C (S),RIA FORMOSA,0,-,-,37.00135,-7.91913,INAG/IPIMAR,FARO,FARO,FARO (SÉ),RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
31L/01,RIA FORMOSA - FORTE SÃO JOÃO BARRA,RIA FORMOSA,0,-,-,37.13698,-7.59053,INAG/IPIMAR,FARO,TAVIRA,CABANAS DE TAVIRA,RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
31K/24,RIA FORMOSA - FUZETA,RIA FORMOSA,0,234797,9545,37.05102,-7.74191,INAG/IH,FARO,OLHÃO,FUSETA,RIA FORMOSA,37.23,11.26,27-02-2002,25-09-2004,SP,EXTINTA,
32J/02F,RIA FORMOSA - ILHA CULATRA (F),RIA FORMOSA,0,-,-,36.99882,-7.84298,INAG/IPIMAR,FARO,FARO,FARO (SÉ),RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
32J/02S,RIA FORMOSA - ILHA CULATRA (S),RIA FORMOSA,0,-,-,36.99882,-7.84298,INAG/IPIMAR,FARO,FARO,FARO (SÉ),RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
31J/27,RIA FORMOSA - ILHA FARO,RIA FORMOSA,0,212411,4840,37.00918,-7.99364,INAG/IH,FARO,FARO,MONTENEGRO,RIA FORMOSA,73.77,21.33,27-02-2002,25-09-2004,SP,EXTINTA,
31J/05,RIA FORMOSA - ILHA FARO B,RIA FORMOSA,0,-,-,37.0093,-7.99427,INAG/IPIMAR,FARO,FARO,MONTENEGRO,RIA FORMOSA,-,-,10-03-2010,-,EEMA,ATIVA,
