,marker site,latitude,longitude,estacao3,estacao
68,17142,41.43932,-8.77398,82/18, 82/18
69,17143,41.42639,-8.7516,82/19, 82/19
70,17144,41.42429,-8.75744,82/20, 82/20
71,17145,41.42377,-8.77071,82/21, 82/21
72,17146,41.41233,-8.77072,82/22, 82/22
73,17148,41.41825,-8.7562,82/24, 82/24
74,2048600,41.45936,-8.76728,82/25, 82/25
75,2028868,41.40718,-8.22925,85/N1, 85/N1
76,2028844,41.41759,-7.50226,89/N1, 89/N1
77,2029004,41.44162,-6.64304,93/N1, 93/N1
78,2029006,41.39131,-6.49864,94/N1, 94/N1
79,17149,41.36977,-8.73313,96/25, 96/25
80,2028870,41.32515,-8.58781,97/N1, 97/N1
81,2028984,41.33683,-8.42498,98/N1, 98/N1
82,2048640,41.34961,-8.42247,98/1, 98/1
83,2028908,41.35171,-7.74958,102/N1, 102/N1
84,2028850,41.34811,-7.18932,104/N1, 104/N1
85,2078730,41.36086,-7.17929,104/N3, 104/N3
86,2028854,41.32002,-7.08158,105/N1, 105/N1
87,2029000,41.33517,-6.71926,107/N1, 107/N1
88,2028842,41.36385,-6.60937,107/N2, 107/N2
89,2029002,41.31882,-6.55315,108/N1, 108/N1
90,2028872,41.26142,-8.47507,111/N1, 111/N1
91,2028966,41.27753,-8.02511,113/N2, 113/N2
92,2028968,41.235,-8.06189,113/N3, 113/N3
93,2028894,41.28446,-7.85632,114/N1, 114/N1
94,2028976,41.28077,-7.65124,115/N1, 115/N1
95,2028964,41.24882,-7.46602,116/N1, 116/N1
96,2028890,41.22981,-7.09657,118/N1, 118/N1
97,2028970,41.20757,-6.95354,119/N1, 119/N1
98,2028830,41.11877,-8.08546,125/N1, 125/N1
99,2028998,41.10996,-7.84765,126/N1, 126/N1
100,2028848,41.11345,-7.56796,127/N1, 127/N1
101,2028972,41.12322,-6.99473,130/N1, 130/N1
102,2028974,41.17952,-6.99007,130/N2, 130/N2
103,2028996,41.0198,-8.05418,136/N1, 136/N1
104,2028888,41.03542,-7.79042,137/N1, 137/N1
105,2028896,40.92876,-8.53277,143/N1, 143/N1
106,73494,40.93572,-8.64499,143/3, 143/3
107,2014680,40.98086,-7.86706,147/C1, 147/C1
108,2028886,40.94683,-7.68442,148/N1, 148/N1
109,2028846,41.00343,-7.37769,149/N1, 149/N1
110,2029012,40.96369,-7.50241,149/N2, 149/N2
111,2014682,41.00407,-7.36727,150/C2, 150/C2
112,2014684,41.00827,-7.19707,150/C3, 150/C3
113,200007,40.86544,-8.65402,153/7, 153/7
114,72464,40.89678,-8.47844,154/3, 154/3
115,2014686,40.91952,-8.02498,156/C4, 156/C4
116,2014688,40.84974,-7.79205,157/C5, 157/C5
117,2014690,40.91752,-7.7661,157/C6, 157/C6
118,2029014,40.86274,-7.45309,159/N1, 159/N1
119,2047960,40.85446,-7.42202,159/N2, 159/N2
120,2014646,40.83571,-7.25099,160/C7, 160/C7
121,102543,40.79576,-8.59285,163/9, 163/9
122,200020,40.76795,-8.5884,163/52, 163/52
123,73495,40.75274,-8.6685,163/112, 163/112
124,15755,40.80538,-8.61828,163/114, 163/114
125,15756,40.79175,-8.60313,163/115, 163/115
126,15757,40.77763,-8.62092,163/116, 163/116
127,15758,40.76575,-8.59821,163/117, 163/117
128,15759,40.76194,-8.6047,163/118, 163/118
129,72317,40.7658,-8.64867,163/121, 163/121
130,2014692,40.76641,-8.08953,166/15, 166/15
131,2014694,40.79743,-8.02422,166/16, 166/16
132,2003682,40.78824,-7.69113,168/1, 168/1
133,2014696,40.81211,-7.54321,169/C10, 169/C10
134,2014814,40.81905,-7.42566,169/C11, 169/C11
135,2047962,40.81121,-7.28548,170/N1, 170/N1
136,2014650,40.76216,-7.13786,171/C12, 171/C12
137,2014698,40.83266,-7.05952,171/C13, 171/C13
138,34575,40.67808,-8.7244,173/3, 173/3
139,2014700,40.7185,-8.70615,173/14, 173/14
140,15760,40.74231,-8.53305,174/99, 174/99
141,15761,40.72496,-8.55094,174/100, 174/100
142,15762,40.72347,-8.54004,174/101, 174/101
143,15763,40.70963,-8.55557,174/102, 174/102
144,15764,40.70834,-8.53853,174/103, 174/103
145,15765,40.69631,-8.55336,174/104, 174/104
146,15766,40.74279,-8.63961,174/105, 174/105
147,15767,40.73418,-8.63173,174/106, 174/106
148,73496,40.66027,-8.4722,175/12, 175/12
149,2014702,40.71408,-8.47884,175/14, 175/14
150,2078772,40.6521,-8.47196,175/15, 175/15
151,2014704,40.73186,-8.38116,175/C16, 175/C16
152,2014706,40.7355,-8.27962,176/C17, 176/C17
153,2014708,40.67419,-8.21057,176/C18, 176/C18
154,2003688,40.66961,-7.7601,178/5, 178/5
155,2014710,40.72459,-7.90242,178/C19, 178/C19
156,2003694,40.66177,-7.57374,179/9, 179/9
157,2014712,40.73785,-7.50332,180/C20, 180/C20
158,2014652,40.72577,-7.40771,180/C21, 180/C21
159,2014714,40.66894,-6.9493,183/C22, 183/C22
160,105232,40.62803,-8.72013,184/7, 184/7
161,72320,40.57472,-8.70331,184/15, 184/15
162,73497,40.63853,-8.74321,184/16, 184/16
163,106300,40.60177,-8.66395,185/1, 185/1
164,34579,40.62083,-8.62398,185/62, 185/62
165,34618,40.64849,-8.62447,185/76, 185/76
166,15747,40.62557,-8.63364,185/102, 185/102
167,15748,40.62053,-8.63419,185/103, 185/103
168,15749,40.61418,-8.60153,185/104, 185/104
169,15750,40.61354,-8.60531,185/105, 185/105
170,15751,40.61081,-8.58898,185/106, 185/106
171,15752,40.62266,-8.55124,185/107, 185/107
172,15753,40.5892,-8.5886,185/108, 185/108
173,15754,40.58241,-8.57414,185/109, 185/109
174,73491,40.57222,-8.43888,186/17, 186/17
175,73498,40.63833,-8.34749,186/19, 186/19
176,73499,40.62444,-8.3336,186/20, 186/20
177,73500,40.57472,-8.47083,186/21, 186/21
178,2003700,40.59971,-7.69133,190/2, 190/2
179,2014640,40.56716,-7.41655,191/2, 191/2
180,2014654,40.64632,-7.52852,191/C23, 191/C23
181,2014716,40.64916,-7.19708,192/C25, 192/C25
182,102605,40.56156,-8.70908,195/4, 195/4
183,34619,40.55188,-8.7319,195/41, 195/41
184,72321,40.54083,-8.70193,195/42, 195/42
185,34620,40.55336,-8.69095,196/2, 196/2
186,73501,40.55972,-8.54527,196/209, 196/209
187,200082,40.55545,-8.55568,196/217, 196/217
188,200084,40.55011,-8.64357,196/219, 196/219
189,15726,40.54065,-8.65461,196/223, 196/223
190,15727,40.53867,-8.65412,196/224, 196/224
191,100419719,40.52686,-8.67645,196/225, 196/225
192,15728,40.52267,-8.62662,196/226, 196/226
193,15729,40.51083,-8.63868,196/227, 196/227
194,15730,40.50739,-8.64279,196/228, 196/228
195,15731,40.50719,-8.64703,196/229, 196/229
196,15732,40.50545,-8.67344,196/230, 196/230
197,15733,40.48991,-8.64313,196/231, 196/231
198,15734,40.49016,-8.66931,196/232, 196/232
199,72322,40.50889,-8.69887,196/233, 196/233
200,73502,40.56372,-8.64256,196/234, 196/234
201,73503,40.49158,-8.60938,196/235, 196/235
202,2052044,40.49589,-8.59196,196/236, 196/236
203,73504,40.50986,-8.50687,197/1, 197/1
204,2050644,40.53408,-8.42346,197/21, 197/21
205,2014718,40.55891,-8.28354,198/C26, 198/C26
206,2014720,40.52819,-7.97124,199/C27, 199/C27
207,2003706,40.50691,-7.91027,200/1, 200/1
208,2081724,40.53987,-7.85468,200/2, 200/2
209,2014722,40.51097,-7.13344,204/C28, 204/C28
210,2014724,40.50899,-7.05444,204/C29, 204/C29
211,2047964,40.48638,-6.98583,205/N1, 205/N1
212,102709,40.44538,-8.7616,206/6, 206/6
213,15737,40.47118,-8.71892,206/8, 206/8
214,15738,40.44833,-8.71519,206/9, 206/9
215,15739,40.46535,-8.73278,206/10, 206/10
216,15740,40.44256,-8.71584,206/11, 206/11
217,15741,40.43848,-8.70308,206/12, 206/12
218,15745,40.43056,-8.70348,206/13, 206/13
219,15746,40.42895,-8.70017,206/14, 206/14
220,72357,40.39759,-8.70438,206/15, 206/15
221,2051932,40.44567,-8.76065,206/16, 206/16
222,105263,40.44905,-8.54996,207/3, 207/3
223,15742,40.4362,-8.69151,207/60, 207/60
224,15743,40.43207,-8.68841,207/61, 207/61
225,15744,40.43137,-8.68511,207/62, 207/62
226,15735,40.47207,-8.64723,207/63, 207/63
227,15736,40.46272,-8.64363,207/64, 207/64
228,72323,40.38751,-8.66496,207/65, 207/65
229,106316,40.44633,-8.43729,208/2, 208/2
230,73492,40.43847,-8.40671,208/129, 208/129
231,2048168,40.43849,-8.40657,208/130, 208/130
232,2014728,40.44328,-8.19583,209/C31, 209/C31
233,2014730,40.43936,-8.10699,210/C32, 210/C32
234,2051944,40.40966,-7.89182,211/1, 211/1
235,2081740,40.45646,-7.85168,211/3, 211/3
236,2014732,40.39268,-7.91463,211/C33, 211/C33
237,72324,40.365,-8.73388,217/26, 217/26
238,72325,40.37278,-8.71471,217/27, 217/27
239,72327,40.31639,-8.75165,217/29, 217/29
240,72328,40.34528,-8.75415,217/30, 217/30
241,200116,40.34959,-8.58333,218/31, 218/31
242,200124,40.34776,-8.69513,218/63, 218/63
243,72330,40.36972,-8.67805,218/64, 218/64
244,109306,40.38322,-8.37635,219/271, 219/271
245,200148,40.37742,-8.44297,219/277, 219/277
246,73505,40.36394,-8.36796,219/293, 219/293
247,73506,40.36219,-8.40224,219/294, 219/294
248,2014734,40.33225,-8.34988,219/295, 219/295
249,2014736,40.3025,-8.02711,221/C35, 221/C35
250,2014656,40.3731,-7.46766,224/C36, 224/C36
251,2014642,40.35675,-7.18858,226/C37, 226/C37
252,2014738,40.36457,-7.05589,226/C38, 226/C38
253,2014740,40.23975,-8.80771,228/70, 228/70
254,102785,40.27267,-8.52529,229/17, 229/17
255,73507,40.23586,-8.69237,229/280, 229/280
256,73508,40.21597,-8.68183,229/281, 229/281
257,73509,40.22191,-8.59072,229/282, 229/282
258,2038460,40.22192,-8.59072,229/C282, 229/C282
259,2052056,40.23252,-8.58841,229/284, 229/284
260,71680,40.24997,-8.45343,230/200, 230/200
261,2078780,40.21548,-8.43822,230/201, 230/201
262,2014746,40.2165,-8.21205,231/16, 231/16
263,2014742,40.2223,-8.2876,231/C40, 231/C40
264,2014744,40.25908,-8.26111,231/C41, 231/C41
265,2014748,40.28761,-7.87331,233/2, 233/2
266,2014750,40.29169,-7.78572,233/C44, 233/C44
267,2014752,40.2288,-7.90611,233/C45, 233/C45
268,2014754,40.28305,-7.20533,236/C46, 236/C46
269,200214,40.1535,-8.83718,239/39, 239/39
270,71682,40.19265,-8.71693,239/61, 239/61
271,73510,40.13206,-8.7213,239/62, 239/62
272,200231,40.18864,-8.58919,240/26, 240/26
273,102843,40.18197,-8.61099,240/28, 240/28
274,75091,40.17233,-8.67349,240/49, 240/49
275,200222,40.18331,-8.58863,240/58, 240/58
276,71684,40.13299,-8.67118,240/80, 240/80
277,73511,40.1542,-8.59827,240/81, 240/81
278,71696,40.19008,-8.42244,241/87, 241/87
279,71698,40.18836,-8.42233,241/88, 241/88
280,2014760,40.13328,-8.05289,243/1, 243/1
281,2014756,40.14006,-8.11724,243/2, 243/2
282,2014758,40.19483,-8.10516,243/3, 243/3
283,2014762,40.16022,-7.97694,243/4, 243/4
284,2003720,40.17441,-7.86058,244/1, 244/1
285,2014658,40.20588,-7.63691,245/C51, 245/C51
286,2014764,40.13555,-7.5627,246/C52, 246/C52
287,102872,40.05933,-8.7137,249/27, 249/27
288,71686,40.07333,-8.73527,249/45, 249/45
289,71688,40.09083,-8.75999,249/46, 249/46
290,71690,40.10195,-8.81888,249/47, 249/47
291,73512,40.08331,-8.85827,249/48, 249/48
292,102873,40.09603,-8.51075,250/3, 250/3
293,200263,40.08925,-8.53308,250/6, 250/6
294,73513,40.07147,-8.65108,250/30, 250/30
295,71692,40.10648,-8.63802,250/31, 250/31
296,71694,40.07603,-8.64143,250/32, 250/32
297,73514,40.05773,-8.55871,250/33, 250/33
298,73515,40.11303,-8.66907,250/34, 250/34
299,73516,40.09978,-8.60619,250/35, 250/35
300,102874,40.10698,-8.46534,251/5, 251/5
301,2014772,40.08258,-8.32257,251/16, 251/16
302,2014770,40.07716,-8.36438,251/17, 251/17
303,2014774,40.05272,-8.3141,252/C58, 252/C58
304,2003726,40.05211,-7.95052,253/1, 253/1
305,2003734,40.08055,-7.78327,254/1, 254/1
306,2079692,40.0959,-7.64048,255/2, 255/2
307,2079704,40.11022,-7.60817,255/4, 255/4
308,2014776,40.096,-7.64019,255/C59, 255/C59
309,2079716,40.10891,-7.50794,256/4, 256/4
310,2079728,40.10332,-7.48251,256/7, 256/7
311,2079740,40.10183,-7.48208,256/8, 256/8
312,2079752,40.10068,-7.48152,256/12, 256/12
313,2079766,40.09466,-7.47859,256/13, 256/13
314,2079780,40.09332,-7.47856,256/14, 256/14
315,2014644,40.05172,-7.52525,256/C60, 256/C60
316,73517,40.00028,-8.75288,261/142, 261/142
317,73518,39.93992,-8.77794,261/143, 261/143
318,102912,40.02331,-8.57993,262/4, 262/4
319,105312,40.02272,-8.58012,262/8, 262/8
320,102915,39.97839,-8.5733,262/10, 262/10
321,73493,39.97853,-8.57265,262/25, 262/25
322,102919,39.99327,-8.38051,263/4, 263/4
323,102920,40.00615,-8.45655,263/5, 263/5
324,102921,39.98255,-8.45257,263/6, 263/6
325,2014778,40.02558,-8.46285,263/C61, 263/C61
326,2014780,39.99111,-8.38066,263/C62, 263/C62
327,2014782,39.99033,-8.35375,263/C63, 263/C63
328,2014784,39.95733,-8.32363,263/C64, 263/C64
329,2014786,39.99575,-8.26507,264/C65, 264/C65
330,2014788,40.0125,-8.21389,264/C66, 264/C66
331,2003738,39.99752,-8.02308,265/1, 265/1
332,73519,39.92278,-8.94832,272/1, 272/1
333,73521,39.86529,-8.89971,272/6, 272/6
334,73520,39.90611,-8.91554,272/19, 272/19
335,2051924,39.87214,-8.95458,272/21, 272/21
336,2014790,39.87281,-8.95452,272/C67, 272/C67
337,200288,39.91528,-8.83388,273/16, 273/16
338,73522,39.88483,-8.72866,273/39, 273/39
339,73523,39.90178,-8.66677,274/80, 274/80
340,73524,39.85528,-8.67854,274/84, 274/84
341,105318,39.91872,-8.42577,275/8, 275/8
342,2014792,39.88862,-8.24735,276/C68, 276/C68
343,73628,39.80667,-8.87916,285/104, 285/104
344,73526,39.77864,-8.74333,285/105, 285/105
345,2083926,39.79451,-8.52576,286/12, 286/12
346,73527,39.81153,-8.55194,286/25, 286/25
347,2014794,39.84064,-8.44644,287/C69, 287/C69
348,2014660,39.80853,-8.43313,287/C70, 287/C70
349,2014796,39.81756,-8.11008,289/C71, 289/C71
350,2014798,39.76033,-7.78058,290/C72, 290/C72
351,102944,39.68563,-8.91835,296/3, 296/3
352,200337,39.72987,-9.00888,296/25, 296/25
353,73528,39.72473,-8.90888,296/41, 296/41
354,2015046,39.70011,-8.94463,296/C55, 296/C55
355,73529,39.74387,-8.90746,296/56, 296/56
356,2038422,39.69366,-8.89672,296/57, 296/57
357,2078458,39.67828,-8.91759,296/62, 296/62
358,34515,39.68473,-8.76833,297/32, 297/32
359,73531,39.68627,-8.78007,297/51, 297/51
360,2014800,39.69214,-8.82813,297/C73, 297/C73
361,73532,39.69876,-8.827,297/82, 297/82
362,73533,39.7525,-8.8586,297/96, 297/96
363,73534,39.73031,-8.70622,297/97, 297/97
364,16263,39.73454,-8.59015,298/21, 298/21
365,16264,39.75093,-8.59224,298/23, 298/23
366,16265,39.74478,-8.66173,298/24, 298/24
367,72854,39.71894,-8.5419,298/48, 298/48
368,2083722,39.70504,-8.60799,298/340, 298/340
369,2083790,39.70024,-8.51679,298/341, 298/341
370,2084178,39.70023,-8.51605,298/342, 298/342
371,2083828,39.73969,-8.62364,298/343, 298/343
372,2083852,39.73896,-8.62109,298/344, 298/344
373,2083882,39.68659,-8.54971,298/345, 298/345
374,2083968,39.74014,-8.53264,298/346, 298/346
375,2083992,39.74022,-8.50986,298/347, 298/347
376,2083738,39.7053,-8.60711,298/348, 298/348
377,16272,39.71953,-8.47762,299/58, 299/58
378,16275,39.6959,-8.38645,299/72, 299/72
379,2051568,39.74532,-8.4463,299/162, 299/162
380,2014802,39.68003,-8.14097,300/C74, 300/C74
381,2014804,39.70514,-8.00742,301/C75, 301/C75
382,2014806,39.70742,-7.75206,303/C76, 303/C76
383,2014662,39.75192,-7.33747,305/C77, 305/C77
384,16574,39.63755,-8.96308,307/20, 307/20
385,2015052,39.61823,-8.8896,307/C81, 307/C81
386,16281,39.60288,-9.03497,307/93, 307/93
387,16283,39.62035,-8.94972,307/121, 307/121
388,16284,39.65233,-9.01103,307/123, 307/123
389,16285,39.6615,-8.98866,307/126, 307/126
390,70178,39.59607,-8.94425,307/134, 307/134
391,70179,39.63214,-8.93827,307/135, 307/135
392,70177,39.59966,-8.94691,307/136, 307/136
393,73873,39.58853,-8.99847,307/146, 307/146
394,73535,39.66287,-8.85669,308/26, 308/26
395,73536,39.65961,-8.86097,308/49, 308/49
396,73537,39.65068,-8.865,308/50, 308/50
397,73538,39.64056,-8.86139,308/51, 308/51
398,73539,39.63178,-8.86727,308/52, 308/52
399,73540,39.58262,-8.80733,308/53, 308/53
400,2051978,39.64065,-8.86113,308/56, 308/56
401,2015040,39.63783,-8.83969,308/57, 308/57
402,2015120,39.5785,-8.86352,308/C82, 308/C82
403,102975,39.66415,-8.5958,309/16, 309/16
404,2084010,39.65979,-8.59356,309/17, 309/17
405,2084034,39.6602,-8.59384,309/18, 309/18
406,2084058,39.66303,-8.59522,309/19, 309/19
407,16292,39.65707,-8.57111,309/31, 309/31
408,16293,39.62571,-8.57557,309/32, 309/32
409,2083758,39.66666,-8.59932,309/83, 309/83
410,2083942,39.66038,-8.52905,309/84, 309/84
411,16549,39.58032,-8.21842,311/70, 311/70
412,2079520,39.61917,-8.20116,311/98, 311/98
413,2079436,39.58029,-8.21822,311/99, 311/99
414,2079490,39.61339,-8.18222,311/101, 311/101
415,2079510,39.60196,-8.18913,311/103, 311/103
416,2079666,39.59841,-8.1942,311/104, 311/104
417,2079448,39.62168,-8.21947,311/105, 311/105
418,2014808,39.59786,-7.77358,313/C79, 313/C79
419,17350,39.58325,-7.64539,314/24, 314/24
420,34777,39.524,-9.06616,316/117, 316/117
421,16299,39.51193,-9.11042,316/119, 316/119
422,73875,39.48429,-9.16209,316/164, 316/164
423,73876,39.49161,-9.11869,316/165, 316/165
424,73881,39.50186,-9.1143,316/166, 316/166
425,2004800,39.51312,-9.11227,316/169, 316/169
426,34778,39.48905,-9.00967,317/177, 317/177
427,16301,39.49354,-8.94998,317/225, 317/225
428,16302,39.52327,-8.92241,317/235, 317/235
429,34877,39.54207,-8.93949,317/246, 317/246
430,34915,39.56926,-9.00242,317/254, 317/254
431,72771,39.54179,-8.95368,317/258, 317/258
432,2015058,39.53917,-8.72277,318/C83, 318/C83
433,103112,39.49123,-8.60168,319/26, 319/26
434,16308,39.48831,-8.53959,319/67, 319/67
435,16309,39.50711,-8.63737,319/72, 319/72
436,2078490,39.55515,-8.40246,320/288, 320/288
437,2050780,39.54583,-8.1952,321/11, 321/11
438,50634,39.57341,-8.1764,321/46, 321/46
439,2079532,39.5466,-7.92743,323/10, 323/10
440,2079544,39.54665,-7.92727,323/11, 323/11
441,2014810,39.57713,-7.8723,323/C80, 323/C80
442,2079598,39.5746,-7.69499,324/30, 324/30
443,34297,39.4955,-7.51726,325/26, 325/26
444,103207,39.42836,-9.06743,326/51, 326/51
445,103224,39.40172,-9.14916,326/136, 326/136
446,103225,39.45548,-9.16017,326/138, 326/138
447,103226,39.47071,-9.15475,326/140, 326/140
448,2084342,39.42737,-9.06314,326/141, 326/141
449,34913,39.40376,-9.2459,326/200, 326/200
450,73877,39.43712,-9.16245,326/231, 326/231
451,73878,39.41467,-9.16802,326/232, 326/232
452,73882,39.47056,-9.11277,326/233, 326/233
453,103230,39.42393,-9.02981,327/14, 327/14
454,16316,39.44263,-8.95205,327/81, 327/81
455,2084316,39.40676,-9.05121,327/149, 327/149
456,2084404,39.40467,-9.05475,327/150, 327/150
457,2084434,39.40412,-9.05719,327/151, 327/151
458,105389,39.44434,-8.74921,328/5, 328/5
459,103244,39.39865,-8.70044,328/8, 328/8
460,106383,39.41537,-8.80589,328/28, 328/28
461,16320,39.42625,-8.79461,328/43, 328/43
462,16322,39.41297,-8.80273,328/45, 328/45
463,16324,39.42237,-8.81246,328/47, 328/47
464,73433,39.44498,-8.71115,328/66, 328/66
465,2080354,39.44281,-8.70939,328/80, 328/80
466,2080530,39.4234,-8.73886,328/81, 328/81
467,2083570,39.40227,-8.83653,328/82, 328/82
468,2083612,39.4267,-8.77656,328/84, 328/84
469,2083582,39.40748,-8.86764,328/87, 328/87
470,2083624,39.44739,-8.75532,328/88, 328/88
471,103249,39.40678,-8.51973,329/6, 329/6
472,16332,39.40879,-8.51126,329/10, 329/10
473,103250,39.42597,-8.51693,329/11, 329/11
474,16334,39.40851,-8.51207,329/150, 329/150
475,16335,39.46658,-8.54528,329/258, 329/258
476,2038426,39.40343,-8.50609,329/341, 329/341
477,2080560,39.4429,-8.69031,329/368, 329/368
478,2080388,39.4246,-8.68181,329/369, 329/369
479,2080606,39.44327,-8.65678,329/370, 329/370
480,2080236,39.46746,-8.66139,329/371, 329/371
481,2083674,39.40151,-8.63601,329/372, 329/372
482,2083686,39.40491,-8.61346,329/373, 329/373
483,105401,39.4048,-8.43111,330/22, 330/22
484,34794,39.40379,-8.43159,330/186, 330/186
485,34795,39.44845,-8.40239,330/187, 330/187
486,16340,39.48476,-8.39753,330/188, 330/188
487,71557,39.41432,-8.435,330/230, 330/230
488,71597,39.44435,-8.42294,330/231, 330/231
489,71598,39.4337,-8.43068,330/232, 330/232
490,71599,39.42879,-8.47862,330/233, 330/233
491,71603,39.43397,-8.49282,330/234, 330/234
492,71605,39.41054,-8.46843,330/235, 330/235
493,71618,39.47877,-8.26595,331/1, 331/1
494,16552,39.471,-8.21101,331/15, 331/15
495,16342,39.47585,-8.19935,331/23, 331/23
496,16343,39.41221,-8.17588,331/26, 331/26
497,16344,39.4656,-8.17656,331/37, 331/37
498,16345,39.42415,-8.20824,331/84, 331/84
499,16346,39.47666,-8.20063,331/85, 331/85
500,16350,39.41741,-8.18361,331/96, 331/96
501,71608,39.4419,-8.1877,331/126, 331/126
502,71610,39.45389,-8.17609,331/127, 331/127
503,71612,39.45867,-8.27683,331/129, 331/129
504,71614,39.46733,-8.26255,331/130, 331/130
505,71616,39.46734,-8.25395,331/131, 331/131
506,72731,39.46816,-8.17819,331/133, 331/133
507,16605,39.46089,-8.04154,332/21, 332/21
508,16553,39.41398,-8.06866,332/23, 332/23
509,2079460,39.46081,-8.04159,332/54, 332/54
510,17338,39.4584,-7.93023,333/4, 333/4
511,17361,39.44781,-7.67422,334/55, 334/55
512,17331,39.41203,-7.44121,335/10, 335/10
513,34337,39.40813,-7.36448,336/17, 336/17
514,50619,39.33794,-9.32141,337/9, 337/9
515,34780,39.30326,-9.32209,337/12, 337/12
516,2050402,39.30319,-9.28607,337/14, 337/14
517,103324,39.30649,-9.28737,337/21, 337/21
518,16354,39.3699,-9.27809,337/54, 337/54
519,73883,39.30866,-9.26916,337/103, 337/103
520,2031506,39.31211,-9.2869,337/108, 337/108
521,2050850,39.38139,-9.28297,337/165, 337/165
522,50638,39.38851,-9.16615,338/16, 338/16
523,16357,39.33437,-9.22566,338/86, 338/86
524,34781,39.30395,-9.15389,338/135, 338/135
525,16358,39.39325,-9.14916,338/136, 338/136
526,34782,39.35364,-9.18803,338/137, 338/137
527,73884,39.34259,-9.18395,338/180, 338/180
528,73880,39.32871,-9.23106,338/181, 338/181
529,73885,39.3201,-9.21198,338/182, 338/182
530,73886,39.33127,-9.20823,338/183, 338/183
531,73887,39.3715,-9.16553,338/184, 338/184
532,2021120,39.39316,-9.14939,338/185, 338/185
533,2021130,39.38851,-9.16614,338/186, 338/186
534,2022558,39.31126,-9.16426,338/203, 338/203
535,2050824,39.3133,-9.2044,338/248, 338/248
536,2084370,39.38963,-9.01801,339/11, 339/11
